	Feature	Intercept_mean	CV_HEI_mean	Intercept_std	CV_HEI_std	Intercept_hdi	CV_HEI_hdi	lower	upper	credible	Taxon
0	04195686f2b70585790ec75320de0d6f	-4.090759075000002	-0.09867295765	0.3767715254349703	0.0195462345096044	(-4.76483, -3.3858)	(-0.13286, -0.0619745)	0.03418704235	0.03669845765	yes	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_725029; g__Escherichia; s__Escherichia fergusonii
1	b423592b0ae631882095792b27729b9c	-7.184573220000007	-0.08756161245	0.403302970155108	0.0210336438724356	(-7.9901, -6.48213)	(-0.123961, -0.0453348)	0.036399387549999995	0.042226812450000005	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Dysosmobacter; s__Dysosmobacter sp000403435
2	208c8722c4dd18b60b2b2684272ff26c	-6.886632380000002	-0.082501978535	0.4966440471868519	0.0257412884456502	(-7.84869, -5.99101)	(-0.131484, -0.0359546)	0.048982021464999984	0.046547378535	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Ruminiclostridium_E; s__Ruminiclostridium_E siraeum
3	aa3e2d76e864d7909b51110e211ef36c	-7.312695244999998	-0.0817804369999999	0.4114156969936121	0.0214640065866564	(-8.13063, -6.61096)	(-0.118589, -0.0399686)	0.0368085630000001	0.0418118369999999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__UBA737; s__UBA737 sp900547445
4	266c2a374ca451985731e1e1b5961bd2	-6.9800799349999965	-0.0771222000500001	0.2769044246196613	0.014480807301685	(-7.46216, -6.463)	(-0.104404, -0.0515055)	0.027281799949999894	0.0256167000500001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_J; s__Eubacterium_J plexicaudatum
5	f45b62ab6ec22fb20364a7e05088158f	-5.975131720000003	-0.0702073681999999	0.3335046304902549	0.0171154592077854	(-6.55651, -5.30849)	(-0.103842, -0.0397724)	0.033634631800000106	0.0304349681999999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Muricoprocola; s__Muricoprocola aceti
6	b10627ff6db16c65eed2f21380dd700f	-4.8503547650000005	-0.069756494875	0.4117908627211692	0.0211214858046204	(-5.69233, -4.14523)	(-0.105233, -0.023892)	0.03547650512499999	0.04586449487500001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Limivicinus; s__Limivicinus sp002320035
7	7dfa96abfa7484bb6c9cfa90dc9b606f	-4.509751615000003	-0.0690527930999999	0.2371342525740256	0.0121993107530721	(-4.94352, -4.08571)	(-0.0900005, -0.0453292)	0.0209477069000001	0.0237235930999999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_J; s__Eubacterium_J plexicaudatum
8	cae14798faeabb8e1b8840e712839921	-6.058806165000002	-0.062496903235	0.3591681637264677	0.0186675257837713	(-6.70304, -5.35938)	(-0.0965938, -0.0267003)	0.034096896764999995	0.035796603235	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes_A_871400; s__Alistipes_A_871400 finegoldii
9	3bff9ab82e7f2a76cc22e687ac7b72fd	-5.594679655000007	-0.061617452054	0.43948099584411	0.0227606782569062	(-6.39168, -4.77301)	(-0.104921, -0.0210769)	0.043303547946	0.040540552054000006	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Butyribacter; s__Butyribacter intestini
