Feature	Intercept_mean	CV_HEI_mean	Intercept_std	CV_HEI_std	Intercept_hdi	CV_HEI_hdi
41d23d8bc82f57b26b6896d5e2e947e8	-9.128944725000004	-0.028004289953265066	0.2920739284010546	0.015275085266419105	(-9.66474, -8.56012)	(-0.0565327, 0.000213767)
0021d135d4ac12982cc8abdf2b38e23f	-6.802679569999993	0.0046479010720341385	0.49713283096131833	0.025664069478129548	(-7.71023, -5.85722)	(-0.0427833, 0.0536599)
e4c0082e2ab8c9772768fc29bb86caa3	-6.4312392849999975	-0.011711971773944995	0.21406290195019498	0.011136163988547882	(-6.86506, -6.05518)	(-0.0321359, 0.0100003)
46d8ab5615f60d7b522f3590976668be	-8.830995479999991	-0.007632945951849996	0.19283782743115935	0.009980094969529722	(-9.21768, -8.49483)	(-0.025342, 0.011854)
28bb502265419a0e86626d75a1183ce7	-7.272206579999996	-0.055709016194999905	0.3982273918886092	0.020536135528818857	(-7.99859, -6.52034)	(-0.0967898, -0.0198476)
ea3af29626a95b6c7b89d631bf1a739c	-5.213701484999987	-0.008514789108100001	0.2069653953793843	0.010739795655515555	(-5.57329, -4.79259)	(-0.0278496, 0.0123183)
94b000e59b7ac160b0416c9ab45ff0bf	-8.294163910000002	0.043478389540000065	0.4854558507294063	0.025181801462945245	(-9.18471, -7.39907)	(-0.00409497, 0.0893605)
75878b49cacdd2ffdcea1186a43be92d	-8.430999639999984	0.020454743940441063	0.2645338981801205	0.013694292680094764	(-8.9002, -7.92144)	(-0.00419129, 0.0461266)
aea50462b44fe88301c739b72353e16f	-8.327157474999995	-0.006927920180234985	0.22555073931351777	0.01164998293943181	(-8.73788, -7.90335)	(-0.0293902, 0.0133217)
2d575dfaf20c70d49b09be32a1492254	-8.776089735000012	-0.002584446416468499	0.19572666361070945	0.010095348887990536	(-9.13913, -8.40982)	(-0.0205294, 0.017182)
b955f67a541a149dd3b179dc62d37a72	-7.933115224999977	0.004346500918311999	0.27309203955965006	0.014058771821507027	(-8.46537, -7.4313)	(-0.0227859, 0.0299826)
