Feature	Intercept_mean	fatty_acids_saturated_eaten_mean	Intercept_std	fatty_acids_saturated_eaten_std	Intercept_hdi	fatty_acids_saturated_eaten_hdi
447b9d6a5c17543a456c597e65b37139	-4.34602650500001	-0.0008872039625950009	0.11044563312795565	0.003068880909302685	(-4.55339, -4.14972)	(-0.00666269, 0.00451108)
ccce7fe8aa849bed027f6898300e0c45	-8.262062559999992	-0.009370943018273	0.2687603609776683	0.007463317670955558	(-8.80223, -7.79562)	(-0.0235745, 0.00384163)
363c1c39d58bce4fc3218659d0944258	-6.512460205000002	0.006841712303949984	0.19393154619815728	0.005394076225502603	(-6.86787, -6.14076)	(-0.00301241, 0.0168699)
7be9bac1b13acbd8acf0de464d7c20e6	-7.69785347000001	-0.005672269307235001	0.23282049208018407	0.006463528969954855	(-8.12839, -7.26856)	(-0.0180669, 0.0055862)
2ab8310e1e510f8045c7f4d191fa36be	-8.813053514999972	-0.0072532913836000044	0.3317862772044597	0.009201410727742245	(-9.39332, -8.19293)	(-0.0229669, 0.0102474)
a66dd8d31584930c2b0f811f572dddcf	-6.998424575000004	0.004929454582799992	0.2950902991240469	0.00826413026564839	(-7.55649, -6.4416)	(-0.00987844, 0.0210102)
10155b2834300619ce0102110a37b057	-6.934712630000002	-0.0004511158933045002	0.13310840456553852	0.00371355625868785	(-7.16009, -6.67333)	(-0.00725445, 0.00623619)
fca904abacabcc0591dd00b0427f9180	-10.442067479999986	0.010297846179849995	0.2762163319536874	0.0076023792753699615	(-10.9585, -9.89366)	(-0.00327597, 0.0257037)
ef6752ce31dcb9e16b1155bbaa1a268d	-9.039992175000004	0.007299372187609997	0.3499495157523714	0.009765161756615461	(-9.6793, -8.38999)	(-0.0101018, 0.0265519)
a24dae6b87885a55d81df1ea6d1abaf5	-5.542888189999989	-0.0064573890786500075	0.2560679639074829	0.00717326198768017	(-5.9725, -5.00607)	(-0.0203551, 0.00656382)
79280cea51a6fe8a3432b2f266dd34db	-3.6395280549999907	-0.00048268155569999963	0.1139475022357531	0.0031579974201662495	(-3.85156, -3.43549)	(-0.00663955, 0.00493761)
cba33b3578113908d449fc66ccb245d4	-6.302647020000016	0.003425212845274999	0.16163129236852483	0.004476701060443168	(-6.58098, -5.98128)	(-0.00443481, 0.0121475)
ef1616938612ecae94c31842853cb904	-8.711366634999997	-0.004103038116765	0.17325478258947652	0.00484572822460387	(-9.04039, -8.40366)	(-0.0136498, 0.00463113)
a378e30f9be477f7777e409c8faea14c	-8.435447889999997	-0.00923121177991499	0.23754651152615952	0.006734453752334268	(-8.85485, -7.98551)	(-0.0220725, 0.00294287)
322498f1025a569812be6e3fe4f63ff7	-7.832491185000008	-0.0027450705252949946	0.32908079014756525	0.009178158735052223	(-8.42289, -7.17882)	(-0.0216993, 0.0134131)
d75b7080930e7a77ef3de8c6154895b9	-4.380498574999997	-0.010456806799560011	0.4222941474780577	0.011796559568478198	(-5.1698, -3.5547)	(-0.030472, 0.0134623)
9bf0d2dbffe7925240ea811d2a4cd625	-8.672301895000004	-0.009702056054160003	0.22526577387690078	0.006253095597031297	(-9.12375, -8.28867)	(-0.0211426, 0.00226405)
a167e4d4418792dcaba877443ed0e66d	-8.107352035	-0.01426496373098499	0.34803686598952266	0.009665582331314978	(-8.78587, -7.48866)	(-0.0327972, 0.00327989)
ac0202d177961ffb380b6859272bde53	-7.544387220000001	-0.013833582315499988	0.29266592332943614	0.008148952798683932	(-8.08018, -7.01264)	(-0.0285514, 0.00114333)
e3ab3e4772986724760dbd52b7af55f7	-8.451949824999998	0.007879576279124993	0.2274629778406134	0.0063680519176106355	(-8.85065, -8.00671)	(-0.00469613, 0.0190508)
481e48328fe7a9837c7233de8f60fc23	-9.173996155000015	6.182308797499985e-05	0.27384604283130676	0.007613276047007019	(-9.68316, -8.6691)	(-0.0146888, 0.0134421)
be17b29b03ed02bed133932284568d16	-6.085886055000002	-0.011860089587720007	0.19013861304345023	0.00527475602093822	(-6.42024, -5.69548)	(-0.0223135, -0.00232914)
