Feature	Intercept_mean	meat_fg_eaten_mean	Intercept_std	meat_fg_eaten_std	Intercept_hdi	meat_fg_eaten_hdi
ebab7cfc7858bfb00c486bba21d6ca6d	-5.629994334999997	-0.00013407487187679996	0.13197497328758115	0.0009340367418909929	(-5.87093, -5.39072)	(-0.00193398, 0.00155054)
8937656c16c20701c107e715bad86732	-3.232196909999994	7.844104770150001e-05	0.10096639399202037	0.0006724502542499515	(-3.43189, -3.06668)	(-0.00130583, 0.00127121)
6a6880faba39965be0e4b7d88966d1c9	-6.268110935000009	-0.0005134922262100005	0.13274272198119094	0.0008689653489543863	(-6.51901, -6.02759)	(-0.00205388, 0.00119244)
85c05d873041801d03eed489230b23f6	-8.126778699999988	0.00024938365710100007	0.08431295356651909	0.0005688284387839832	(-8.27368, -7.96524)	(-0.000893076, 0.00123338)
6d8fe4ac153ead767024e041ff1f0ec6	-8.228467264999992	-0.0008987175922099997	0.21944526457973462	0.0014838798126199397	(-8.64648, -7.84467)	(-0.00347719, 0.00201015)
ed5952d1e022067b212146b9b3bc6812	-4.550543415000007	-0.0014544232226449975	0.18822904701928386	0.0012640074571589753	(-4.90344, -4.18442)	(-0.00383718, 0.000986253)
7029eddc845e01d613a3bbc113ebeaba	-6.525591249999994	0.00020862284388000014	0.12525065959082807	0.0008252042046294808	(-6.75578, -6.28682)	(-0.00124129, 0.00177015)
41d23d8bc82f57b26b6896d5e2e947e8	-9.572452544999997	-0.0005788847950205003	0.1354059226908963	0.0009484397535528602	(-9.79987, -9.29749)	(-0.0023837, 0.00117307)
0021d135d4ac12982cc8abdf2b38e23f	-6.746114705000003	0.00019011632587449982	0.2532680741748021	0.0017356888653259758	(-7.22752, -6.29694)	(-0.00292127, 0.00358178)
e4c0082e2ab8c9772768fc29bb86caa3	-6.711445249999997	0.00043149716734700055	0.0875695558966557	0.0005882401870270221	(-6.86521, -6.53114)	(-0.000674145, 0.00155553)
46d8ab5615f60d7b522f3590976668be	-8.938651400000012	-0.0003202918269404997	0.08662005790542987	0.0006079566749472001	(-9.10691, -8.78025)	(-0.00143371, 0.000840051)
28bb502265419a0e86626d75a1183ce7	-8.170628590000002	-0.0009653350806600003	0.21613006899969286	0.0015247503630279222	(-8.55363, -7.74133)	(-0.00366056, 0.00198758)
ea3af29626a95b6c7b89d631bf1a739c	-5.163189600000007	-0.0016900497438949943	0.09708766164678197	0.0006580075610284656	(-5.3617, -4.99493)	(-0.00286957, -0.000443009)
94b000e59b7ac160b0416c9ab45ff0bf	-7.589913159999998	0.0009748703079110473	0.20666967116927057	0.0012844145957856127	(-7.96085, -7.19664)	(-0.00146065, 0.00334973)
75878b49cacdd2ffdcea1186a43be92d	-8.290092564999998	0.0018790025393499985	0.11663284803206504	0.0007732353050489787	(-8.51016, -8.08404)	(0.000524994, 0.00333738)
aea50462b44fe88301c739b72353e16f	-8.720703425000005	0.001947767821900001	0.1056644857836321	0.0007011074519678106	(-8.95155, -8.53738)	(0.0005411, 0.00319906)
2d575dfaf20c70d49b09be32a1492254	-8.994313984999987	0.001295823303605002	0.09868078166071532	0.0006652910048089918	(-9.21208, -8.82925)	(-8.01592e-05, 0.00245269)
b955f67a541a149dd3b179dc62d37a72	-7.86260925499999	8.428991286850009e-05	0.11026359116768782	0.0007568132810699513	(-8.06287, -7.66259)	(-0.00140357, 0.00140863)
ad7bc2bb6e1ec90a9bc3c8949bce80d6	-6.598408925	0.002465240506015002	0.31378506439519105	0.002096209232794643	(-7.20878, -6.03367)	(-0.00149763, 0.00648983)
8f1c11c7b732265cbfc1bb7dbd0241e7	-5.895152594999998	0.0015988722377780025	0.09679966393131738	0.0006646156004861723	(-6.08664, -5.72026)	(0.000399106, 0.00288801)
1fd31ccf4d6163405f70131e32d5065a	-7.184835419999993	0.001745721274919999	0.201929223907595	0.0013710765560854057	(-7.56088, -6.81393)	(-0.000650073, 0.0044523)
5093ad88995f6fe457c7fe96bb0ed33b	-6.062625075000003	0.00042216188906999997	0.1219236141270197	0.0007992126816031709	(-6.28776, -5.82903)	(-0.00112336, 0.00193197)
f9b52205cb2d03153fd394a290212a10	-5.655010800000006	0.003038081583300008	0.17803985163541347	0.0012023683846332997	(-5.99753, -5.34299)	(0.000837372, 0.00522612)
9d4e16844252e2dfbaf80a4a6fc4d55d	-10.359865399999995	0.006177926585000004	0.18816359603690633	0.0012770410859972705	(-10.703, -9.99303)	(0.00378103, 0.00847584)
148c7eb0139bbc1b8c87dd31464742e4	-5.535643339999995	-0.0010408634360549987	0.09139874910710985	0.000619239840174641	(-5.71569, -5.37288)	(-0.00223909, 0.000122254)
eea6b86c0c75e740670ccc50613b1b23	-3.3128044850000005	-0.0003318437928729999	0.0455431047825549	0.00030957786970714946	(-3.39689, -3.22869)	(-0.000890759, 0.000280932)
3fe55dd5e59267f275e972017302459f	-6.241058195000003	-2.240753449999996e-05	0.26569034799610614	0.0017719141065225942	(-6.72878, -5.74155)	(-0.00311693, 0.00357171)
f11bd4248a2f95e53507c5bbf8dda43a	-6.815923239999997	0.0002516549102952	0.13127334083355396	0.0009057193883418981	(-7.06952, -6.56996)	(-0.00150063, 0.00185646)
09a55cd0bdf9fa4929eab3f0ed841bf5	-8.894079439999999	-0.0005472806704914999	0.13919308789155585	0.0009450533438956224	(-9.13124, -8.61006)	(-0.00235812, 0.0011662)
bfb7bb16ab570748b3a5d099e9426af1	-8.69441859999998	0.002322454137	0.09427170075075558	0.0006196460893698653	(-8.85818, -8.49878)	(0.00115252, 0.00346475)
