Feature	Intercept_mean	fiber_eaten_mean	Intercept_std	fiber_eaten_std	Intercept_hdi	fiber_eaten_hdi
c0c365b5a32a28b8d2602de07c5d0b06	-8.239666480000011	0.023635954065250018	0.3669092811791624	0.014056518718311907	(-8.91502, -7.54637)	(-0.00196137, 0.0505135)
a650f349bbdffb95b3624519d1ba72b8	-4.683058840000008	-0.011630379332100014	0.10909299762841974	0.004023886374524239	(-4.90304, -4.48799)	(-0.0190397, -0.00354439)
0f6da5f59be656db2dadef7bf2d1a2e6	-8.831817025000015	0.011791832698790007	0.21157657419005368	0.008058305939430459	(-9.23899, -8.45595)	(-0.00320851, 0.0267507)
e84bea8ae61342674744560dd7de4721	-6.816383645000004	0.00113107666447	0.3570024158454169	0.013736872549741937	(-7.45902, -6.14773)	(-0.0247727, 0.0254906)
010f0ac2691bc0be12d0633d4b5d2cc4	-4.677867034999997	0.00379474584825	0.17287280013338932	0.006613781873345538	(-5.00202, -4.35532)	(-0.00875744, 0.0157771)
c8fce068920feb387167d44c01689295	-7.4977582150000135	0.043733757219999995	0.28594499156684644	0.010912334289594806	(-8.02126, -6.98425)	(0.0224546, 0.0631454)
86deb5cf8d6f29d383136e0d09863b69	-9.096465265000004	-0.03744173625899998	0.27284048402176325	0.010582458407097197	(-9.59175, -8.56299)	(-0.0568682, -0.0169175)
79db4c4f494c95856ce31b42f267c4c4	-7.898153990000004	-0.0028778045866150004	0.41865913961596474	0.01592107716990025	(-8.67502, -7.11853)	(-0.0324574, 0.0270065)
dde2f514908a4fcaa80827346c7b7a19	-8.160847690000008	0.008175605527830022	0.14723634826449572	0.005652524981702567	(-8.42717, -7.87951)	(-0.00261558, 0.0180758)
7dfa96abfa7484bb6c9cfa90dc9b606f	-6.396191695000014	0.024400443920000018	0.191795135997702	0.007338042803967278	(-6.76683, -6.06219)	(0.0112683, 0.0379243)
25f9cac7332bfbe3973f03bae0ee15cc	-10.248043999999972	0.02929046496999999	0.22065894001535485	0.008379495547083483	(-10.6476, -9.83254)	(0.0138249, 0.0447287)
447b9d6a5c17543a456c597e65b37139	-4.445497925000001	0.002674261472654996	0.10515490693517056	0.003935405289410354	(-4.65598, -4.26706)	(-0.00421084, 0.0103375)
ccce7fe8aa849bed027f6898300e0c45	-9.348946760000013	0.029474111843000025	0.27958012243309127	0.010679399531160486	(-9.90262, -8.84624)	(0.00961896, 0.0499777)
363c1c39d58bce4fc3218659d0944258	-6.169327860000009	-0.004221393272449996	0.1878755531651749	0.00725860069772332	(-6.50402, -5.81107)	(-0.0182504, 0.00873364)
7be9bac1b13acbd8acf0de464d7c20e6	-7.7093336799999985	-0.007367110379184991	0.14238002279729284	0.005237847313042482	(-7.99844, -7.45492)	(-0.0172672, 0.00232501)
2ab8310e1e510f8045c7f4d191fa36be	-8.171335549999997	-0.03678642901349992	0.31682158879343686	0.012277359339931319	(-8.75288, -7.56683)	(-0.0594355, -0.0137891)
a66dd8d31584930c2b0f811f572dddcf	-6.247036255000003	-0.024142219835849982	0.2217510785902179	0.008367832232310262	(-6.67216, -5.85864)	(-0.0388875, -0.00871417)
10155b2834300619ce0102110a37b057	-6.968997434999988	0.0006913876150300004	0.11007885697839886	0.004210307008573314	(-7.16096, -6.76015)	(-0.00671004, 0.00873632)
fca904abacabcc0591dd00b0427f9180	-9.999573779999992	-0.0031296043759850016	0.239791184318798	0.009200913226602166	(-10.4354, -9.54659)	(-0.0215082, 0.0132759)
ef6752ce31dcb9e16b1155bbaa1a268d	-8.27058308	-0.020847411712249995	0.3035803384888647	0.011617500904009764	(-8.82568, -7.69496)	(-0.0439107, -0.000731852)
a24dae6b87885a55d81df1ea6d1abaf5	-6.032842490000005	0.010331962729949995	0.21456353942993187	0.00827552709251398	(-6.42112, -5.61791)	(-0.00515422, 0.026072)
79280cea51a6fe8a3432b2f266dd34db	-3.523370975000005	-0.005227572774274987	0.0936767323383954	0.0035618416118506717	(-3.70792, -3.35396)	(-0.0113126, 0.00229188)
cba33b3578113908d449fc66ccb245d4	-6.30144357500001	0.005001396731312503	0.13571283647271298	0.0051491080216530295	(-6.52849, -6.04899)	(-0.00422305, 0.0143488)
ef1616938612ecae94c31842853cb904	-9.180434784999992	0.012847976500499965	0.15691279768155839	0.0059673019270565	(-9.49927, -8.90893)	(0.000809755, 0.023105)
a378e30f9be477f7777e409c8faea14c	-9.062893859999985	0.012380926471949995	0.2233431860308264	0.008538890520900264	(-9.5122, -8.67636)	(-0.00335028, 0.0284234)
322498f1025a569812be6e3fe4f63ff7	-7.421763400000016	-0.020779246299634974	0.3075376962777735	0.011787838046690674	(-7.98329, -6.83159)	(-0.0426548, 0.0022193)
d75b7080930e7a77ef3de8c6154895b9	-4.621700270000007	-0.004705643662650001	0.33957462742514644	0.012715476777298717	(-5.25482, -4.00128)	(-0.0286117, 0.0187307)
9bf0d2dbffe7925240ea811d2a4cd625	-8.696115875000006	-0.012343700431499993	0.18488043922420336	0.007061785909947673	(-9.01866, -8.33868)	(-0.0251818, 0.000801931)
a167e4d4418792dcaba877443ed0e66d	-7.5300468950000035	-0.04472731140000004	0.32238954316697227	0.012419711337437904	(-8.15108, -6.95408)	(-0.0668575, -0.020277)
ac0202d177961ffb380b6859272bde53	-8.103136594999997	0.003378887514400005	0.3001773805076861	0.011427410066593117	(-8.64012, -7.50232)	(-0.0189591, 0.0233007)
e3ab3e4772986724760dbd52b7af55f7	-8.200391705000001	0.001119936814225	0.20861312605836455	0.007990630810333797	(-8.59048, -7.80474)	(-0.0140212, 0.0162676)
481e48328fe7a9837c7233de8f60fc23	-8.575002339999992	-0.02446672334050002	0.24556282342350685	0.009425101600578484	(-8.9975, -8.09627)	(-0.0413161, -0.00735186)
be17b29b03ed02bed133932284568d16	-7.0707403150000045	0.02230811087000004	0.1812434822895729	0.006898475711970821	(-7.41117, -6.72733)	(0.00854333, 0.034443)
