Feature	Intercept_mean	CV_vegetables_fg_eaten_mean	Intercept_std	CV_vegetables_fg_eaten_std	Intercept_hdi	CV_vegetables_fg_eaten_hdi
f7962a90f4519ec1d1a9c7b8ef7bf396	-8.66593171	-0.006152418250499994	0.22350447323996872	0.0033606341694143354	(-9.09459, -8.25124)	(-0.0131513, -0.00047737)
77ad88eed91eef009bf64f101c96baa6	-5.905314684999996	0.010690794647150018	0.3429185355016564	0.005092491692539796	(-6.54688, -5.2854)	(0.0013615, 0.0205329)
08be83d0a527ddd1da0861135192e593	-8.458689299999989	-0.0009950408297249996	0.3224055937914386	0.004738993307061716	(-9.03031, -7.78206)	(-0.010502, 0.00742826)
b61862b15d33865612e76c1db7b995a1	-8.585193374999998	-0.0063537070687	0.18567658770846518	0.002804708564285786	(-8.93403, -8.2434)	(-0.0115066, -0.00110267)
14f11556b1fc9132c5ab27b67a2479bf	-9.079147235000018	-0.0017538010610209966	0.23408850238660747	0.003542658317098629	(-9.49473, -8.60822)	(-0.00796782, 0.00515714)
514b34f09e4acd2397d38273c630d338	-9.085829069999992	0.00864625730746	0.3653233260736785	0.0054833444016488524	(-9.77632, -8.44893)	(-0.00177021, 0.0186491)
ba88d4e4e6a24ecc2a5aab6bdfbb77f5	-7.761717405000009	-0.0006313206607015002	0.1542654681577054	0.002315597320065458	(-8.06175, -7.48945)	(-0.00504133, 0.00349078)
1c94105978b1aa2095e3c0096774f240	-8.469300819999996	0.003968347710145	0.21452730689268365	0.003178204993691104	(-8.8574, -8.07994)	(-0.00163346, 0.0100785)
27b636c66fa117272ed27920bad78969	-8.27721937000001	-0.001866694611994998	0.26667093173048134	0.003965397500644494	(-8.74651, -7.74241)	(-0.00982769, 0.00519327)
7201d53bd647437ec3de879774eba498	-6.776200649999997	0.0010351123231510002	0.32393109847231016	0.004783248394487666	(-7.37314, -6.11947)	(-0.00881511, 0.00931215)
f8529e2e737999b4a7d06420482d4af3	-7.956647275000024	-0.008347403275664982	0.37876990564289065	0.005694986036046885	(-8.65273, -7.27111)	(-0.018481, 0.0026024)
959d48a11e3b26c9268f0bd1dae6ec40	-3.8748706000000053	-0.005448358312199993	0.11171399299613285	0.0016729308502245693	(-4.07147, -3.6679)	(-0.0085059, -0.00235767)
bd0f4e14387ee1ac7e5fe586cadbbed4	-9.018076285000001	0.0020564900041350038	0.1412761345647196	0.002104149455396521	(-9.28934, -8.76733)	(-0.00195087, 0.00584839)
66047b69a772cae3e37186eb74254da7	-8.368951084999994	-0.007641567990849999	0.29965971990638435	0.004531013613767622	(-8.93016, -7.83368)	(-0.0160048, 0.000287425)
4207ad1746e5fbce9c5ed5efe1e357d9	-7.410112869999993	0.00031578644772500033	0.1556431885700853	0.002312166720535735	(-7.70061, -7.10626)	(-0.00405639, 0.00464464)
