	Feature	Intercept_mean	protein_eaten_mean	Intercept_std	protein_eaten_std	Intercept_hdi	protein_eaten_hdi	lower	upper	credible	Taxon
22	588a23811b3e98af68f4f0fb24a0daa8	-4.792924524999994	-0.0082625051786	0.2971911815753865	0.0034919967190622	(-5.3557, -4.24492)	(-0.0147106, -0.0016075)	0.0064480948214000015	0.0066550051786	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus
28	f11bd4248a2f95e53507c5bbf8dda43a	-6.146567375000004	-0.007732263735	0.2736028997325491	0.0032092086310646	(-6.65503, -5.61634)	(-0.0137669, -0.00154968)	0.006034636265000001	0.006182583735	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Faecousia; s__Faecousia sp000434635
31	21ce8465657612a85e2f89e74d285ce1	-9.529610310000049	-0.00753505150805	0.3356842302097371	0.004015906112784	(-10.1513, -8.89027)	(-0.0151452, -0.00037188)	0.00761014849195	0.00716317150805	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Christensenellaceae; g__; s__
32	a3607a88a8ed64e24a374847b23e404f	-5.831815079999992	-0.0074936812074999	0.2202686099347647	0.0025614883893604	(-6.24244, -5.42769)	(-0.0121682, -0.00274886)	0.0046745187925001	0.004744821207499901	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Hominenteromicrobium; s__Hominenteromicrobium mulieris
33	db093685d2f3295cfa4da0a44d3d9ad0	-7.455768769999996	-0.0072877852066385	0.2924939129952741	0.0034352353434523	(-8.05449, -6.96302)	(-0.0132038, -0.000518923)	0.0059160147933615	0.0067688622066385	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus
34	6a129e8ae637c96e7bb56223913911f7	-5.39987828	-0.0072866390634	0.2600447534647479	0.0030445975867251	(-5.93571, -4.95267)	(-0.0128539, -0.00139422)	0.0055672609366	0.0058924190634	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_F; s__Eubacterium_F sp003491505
42	9bf0d2dbffe7925240ea811d2a4cd625	-8.43879715499999	-0.0068071023634549	0.2572338950625596	0.0030696700217034	(-8.91342, -7.96958)	(-0.0124715, -0.00119561)	0.0056643976365451	0.0056114923634549	yes	d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__; s__
50	ea3af29626a95b6c7b89d631bf1a739c	-4.865691779999992	-0.006165338375	0.2400536240420702	0.002805744647836	(-5.35297, -4.47822)	(-0.0112376, -0.000964681)	0.005072261625	0.005200657375	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira eligens
51	599ba6458e91e2527f358f547ea39261	-3.7274788700000023	-0.006106618635	0.1302003906281509	0.0015163828604294	(-3.94915, -3.47818)	(-0.00895092, -0.00338666)	0.0028443013649999994	0.002719958635	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_141781; s__Blautia_A_141781 obeum
54	f402919ff0fe53fec5b6ef190f9e42b7	-6.474299074999999	-0.0058674538371	0.1768698618083203	0.0020855304229649	(-6.78687, -6.11659)	(-0.0100907, -0.00223965)	0.004223246162899999	0.0036278038371	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_141781; s__Blautia_A_141781 obeum
57	7dfa96abfa7484bb6c9cfa90dc9b606f	-5.287590040000006	-0.0057928543267	0.2580740501220499	0.0029954625185543	(-5.78395, -4.81535)	(-0.011313, -0.000126321)	0.0055201456733000006	0.005666533326699999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_J; s__Eubacterium_J plexicaudatum
61	a6fa2de5f4576d1d77b1616786e3dd52	-8.321523420000007	-0.0053652531008	0.1744963635297412	0.0020804635606222	(-8.63049, -7.9854)	(-0.00922303, -0.00140925)	0.0038577768992000003	0.0039560031008	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Oribacterium; s__
78	f7686a74ca2d3729eb66305e8a26309b	-3.339919510000005	-0.0047606893969999	0.1142456410011336	0.0013409427013147	(-3.55251, -3.12913)	(-0.00725784, -0.00230184)	0.0024971506030000996	0.0024588493969999003	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus
85	010f0ac2691bc0be12d0633d4b5d2cc4	-4.233936175000001	-0.0042436682583999	0.2046310197590271	0.0024044087103377	(-4.59547, -3.83556)	(-0.0091974, -9.56007e-05)	0.004953731741600099	0.0041480675583999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium; s__Faecalibacterium duncaniae
89	25dd2ae928b2e5e1ac2e28dbe2112991	-6.00089636999999	-0.00414651543935	0.1666171241809288	0.0019512507415965	(-6.33225, -5.69551)	(-0.00768547, -0.000400739)	0.00353895456065	0.00374577643935	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus
