Feature	Intercept_mean	protein_eaten_mean	Intercept_std	protein_eaten_std	Intercept_hdi	protein_eaten_hdi
fca904abacabcc0591dd00b0427f9180	-10.120068609999997	0.0004601160267165	0.3203315281032572	0.0037397922766603956	(-10.7472, -9.54318)	(-0.00688644, 0.00732092)
ef6752ce31dcb9e16b1155bbaa1a268d	-8.505161455000014	-0.003376181822535505	0.41125944709615214	0.004830440105037619	(-9.29358, -7.77268)	(-0.0124617, 0.00555822)
a24dae6b87885a55d81df1ea6d1abaf5	-5.508106449999993	-0.003133907313670007	0.287673996616826	0.003374360608084327	(-6.01859, -4.96316)	(-0.00974915, 0.00274562)
79280cea51a6fe8a3432b2f266dd34db	-3.6002444000000056	-0.000673170752044001	0.12847306225913668	0.0014916599303357685	(-3.8642, -3.37313)	(-0.00359153, 0.00202823)
cba33b3578113908d449fc66ccb245d4	-6.403471840000004	0.0026277324662700016	0.1990197570868641	0.0023288040187829312	(-6.74434, -6.04249)	(-0.00148304, 0.00693451)
ef1616938612ecae94c31842853cb904	-8.856174669999989	3.8715776647500026e-05	0.20861693159111291	0.0024319698413778016	(-9.2197, -8.46492)	(-0.0046528, 0.00438381)
a378e30f9be477f7777e409c8faea14c	-8.350238215	-0.00488200416215	0.3034198042586606	0.003513071966504035	(-8.88795, -7.76482)	(-0.0123642, 0.00100769)
322498f1025a569812be6e3fe4f63ff7	-7.2839815050000025	-0.007868471367649999	0.3535567161689689	0.004141376094318352	(-7.95776, -6.64643)	(-0.0153064, -9.60071e-05)
d75b7080930e7a77ef3de8c6154895b9	-3.865876554999999	-0.01074403391625001	0.4854843505649613	0.005688995349354178	(-4.80733, -2.99685)	(-0.0207516, 0.000583937)
9bf0d2dbffe7925240ea811d2a4cd625	-8.435605820000006	-0.006937727107009995	0.2642436570569436	0.00311124140027748	(-8.95954, -8.00171)	(-0.0125692, -0.00125537)
a167e4d4418792dcaba877443ed0e66d	-8.32411069000001	-0.0032205791439950055	0.3952533540834592	0.004645000313326616	(-9.11902, -7.62653)	(-0.0117322, 0.00547707)
ac0202d177961ffb380b6859272bde53	-7.28386406000001	-0.008916128782769994	0.37026376111809306	0.004317878953043314	(-7.98338, -6.60911)	(-0.0165996, -0.000692645)
e3ab3e4772986724760dbd52b7af55f7	-8.530476320000007	0.0042478724985100065	0.26961099178809017	0.0031281272298166883	(-9.06078, -8.0307)	(-0.00133292, 0.0104636)
481e48328fe7a9837c7233de8f60fc23	-9.231720014999995	0.0007632438502249999	0.32264328724684466	0.0037473239052132337	(-9.84821, -8.66897)	(-0.00573817, 0.00799373)
be17b29b03ed02bed133932284568d16	-6.266980789999997	-0.0027037061724949976	0.2129807129236728	0.0024690265747348873	(-6.65952, -5.89147)	(-0.00718058, 0.00172233)
5f9d6c173705f19cd3a1e5145c52789a	-8.862208595000007	-0.00036373572911999985	0.4493393067950723	0.005310787776483795	(-9.7314, -8.04299)	(-0.00998713, 0.00992906)
1ef782a559e3e0a4ab42516e0a2c828f	-9.897935569999985	0.015308269660000004	0.39117128309089255	0.004603303725133592	(-10.6121, -9.17559)	(0.00657366, 0.0238481)
97f56e68f535e44ceb53d05f269e82d6	-6.614142494999997	-0.0023019979783800012	0.16634706314247016	0.0019292410840934017	(-6.94025, -6.31404)	(-0.00563725, 0.001566)
3f38509af22157cdcb4006457529d25e	-7.508323499999992	-0.016787244723000024	0.3819750835432203	0.004498572056234837	(-8.20861, -6.79426)	(-0.0245202, -0.00783464)
ccee9fc92f4182805278384a02a4d7d3	-9.695886085000001	-0.00032452758909000016	0.2992280064491334	0.0035083538100484668	(-10.2675, -9.15096)	(-0.00678486, 0.00667532)
b3bf877149e7a31ad9a7397a3ca8b011	-9.122657760000013	-0.0024837247768550023	0.3611257267740452	0.004218715535576907	(-9.76007, -8.48487)	(-0.0102087, 0.00481438)
33852dc244bb69590e8e756a83bb2f4c	-8.946779215000005	-0.006999455308924991	0.30834403101638574	0.0036566232237113766	(-9.53114, -8.36491)	(-0.0141473, -0.000699141)
8f5959f21dc9ce9a281656f8d699ec07	-6.093638409999994	-0.009298202849199999	0.28389970099239625	0.003320912188806802	(-6.5915, -5.5351)	(-0.0153892, -0.00295058)
2086666afdd5de098b04a94247040c11	-7.457159199999979	-0.005251928667539996	0.35449688349089925	0.004086784174842453	(-8.17086, -6.84429)	(-0.0129762, 0.00249594)
96169c3701e79f42346c41eb7b5bf2af	-8.805810625000001	-0.007925254432649992	0.32937632547795465	0.0038725795608833555	(-9.4033, -8.15972)	(-0.0149437, -0.000276475)
d05c86b5bfc092d8677507fb1eae8d66	-4.987349100000011	-0.008290695064200004	0.3626126531148498	0.004239059181575726	(-5.64852, -4.31765)	(-0.015413, 0.000229906)
25dd2ae928b2e5e1ac2e28dbe2112991	-5.9789429199999935	-0.004388423117150009	0.17798109188920483	0.0020763416289046955	(-6.29437, -5.65374)	(-0.00802583, -0.000413394)
cebcb0fe524fb1cf0bfb5463ae228bed	-8.666248624999994	-0.0017234210191849997	0.3428969200534752	0.004043518429863524	(-9.27657, -7.9928)	(-0.00949627, 0.0057166)
90104f2fbcc925a6619e805c7a625c57	-9.009690565000028	0.005415804189850002	0.3806638676968575	0.0044509172137530174	(-9.71287, -8.32683)	(-0.00300061, 0.0131252)
