	Feature	Intercept_mean	potassium_eaten_mean	Intercept_std	potassium_eaten_std	Intercept_hdi	potassium_eaten_hdi	lower	upper	credible	Taxon
370	b47757a69204f053308f7f5f0022edab	-8.640778619999992	0.4467910478099989	0.3365701896738564	0.1598778299200881	(-9.30519, -8.03325)	(0.139764, 0.745981)	0.3070270478099989	0.2991899521900011	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Vescimonas; s__Vescimonas sp900545585
371	55d4d3011e1f3bb8e4e5089b801b61a4	-10.378468865000007	0.4525768876499994	0.310986978287937	0.1464696224914304	(-10.9679, -9.80216)	(0.167844, 0.711227)	0.28473288764999943	0.2586501123500006	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__UBA3402; s__UBA3402 sp003478355
372	266c2a374ca451985731e1e1b5961bd2	-9.34165738	0.4583358940499998	0.2752140130837012	0.1278219590442783	(-9.89394, -8.83707)	(0.226453, 0.705871)	0.23188289404999982	0.24753510595000022	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_J; s__Eubacterium_J plexicaudatum
373	6fc765c81c8b663cedcd799094894748	-9.678255454999986	0.4601413270900007	0.3837334383042383	0.1832240597835827	(-10.3836, -8.98679)	(0.119763, 0.786083)	0.3403783270900007	0.32594167290999926	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__SFMI01; s__
374	e91f1c5b67ffecb5ca3ca3b393a50f00	-5.5986195949999935	0.46202670434	0.3068384053473197	0.1455935451436935	(-6.19147, -5.05351)	(0.215788, 0.754319)	0.24623870433999998	0.29229229566	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__SFMI01; s__
375	362b97b08074732371b6e76cd1a894e1	-8.055652069999997	0.4623276467349994	0.5141828547348838	0.2430943508879958	(-9.06916, -7.17071)	(0.0119515, 0.922792)	0.45037614673499937	0.46046435326500057	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Limivicinus; s__Limivicinus sp002320035
376	f10155af1849a17996f302d71b32398c	-9.141819945000004	0.4689049382360494	0.474210325416631	0.2260670186824199	(-10.0174, -8.22622)	(0.0698527, 0.915132)	0.3990522382360494	0.44622706176395055	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Suilimivivens; s__Suilimivivens aceti
377	9f74473636e6874853d88dfcbcecff49	-7.615242469999993	0.4704598725000006	0.2986456171884982	0.1413595045928757	(-8.13887, -7.01962)	(0.208067, 0.730769)	0.2623928725000006	0.2603091274999994	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus_A_346120; s__
378	cebcb0fe524fb1cf0bfb5463ae228bed	-9.800482220000015	0.4705009904999999	0.3225753391303673	0.1526800657788603	(-10.3424, -9.11795)	(0.152461, 0.722383)	0.31803999049999987	0.2518820095000001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira sp000437735
379	5f9d6c173705f19cd3a1e5145c52789a	-9.911328249999986	0.4840416898875004	0.4128278675474044	0.1962432876357763	(-10.6822, -9.13205)	(0.133907, 0.880014)	0.3501346898875004	0.39597231011249956	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Faecousia; s__Faecousia sp000434635
380	1243750138937650754b619370565800	-7.14401852000001	0.4873110324000003	0.3173143011837155	0.1500074902637132	(-7.75396, -6.5656)	(0.188156, 0.752054)	0.2991550324000003	0.2647429675999997	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira sp000437735
381	c8fce068920feb387167d44c01689295	-7.368396815000004	0.4879367401450005	0.3554672539589347	0.1695224196510715	(-8.02123, -6.68738)	(0.172659, 0.81026)	0.3152777401450005	0.3223232598549995	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Butyricicoccaceae; g__Agathobaculum; s__Agathobaculum butyriciproducens
382	913d55d109820d0f3fad120be103c64f	-9.403535610000002	0.4905932451599998	0.3647442860458926	0.1731640396586185	(-10.0696, -8.65228)	(0.1524, 0.814235)	0.3381932451599998	0.32364175484000024	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__
