Feature	Intercept_mean	potassium_eaten_mean	Intercept_std	potassium_eaten_std	Intercept_hdi	potassium_eaten_hdi
dde2f514908a4fcaa80827346c7b7a19	-8.248382655000004	0.1421364743702997	0.16928017554191324	0.08042715502635472	(-8.5736, -7.94023)	(-0.00985156, 0.291193)
7dfa96abfa7484bb6c9cfa90dc9b606f	-6.430455004999987	0.3180854738149993	0.2109697584069811	0.09957342335986198	(-6.81652, -6.01896)	(0.143225, 0.518042)
25f9cac7332bfbe3973f03bae0ee15cc	-10.221885654999982	0.3504336197300001	0.2630377764849964	0.12395257356248056	(-10.6984, -9.73583)	(0.125453, 0.5799)
447b9d6a5c17543a456c597e65b37139	-4.433109274999994	0.026951968739099975	0.11733242496865215	0.05621871082772935	(-4.66295, -4.21283)	(-0.0923898, 0.122956)
ccce7fe8aa849bed027f6898300e0c45	-9.065980545	0.23004857672099993	0.31826105064561844	0.15060537553177478	(-9.64102, -8.45391)	(-0.0524176, 0.507968)
363c1c39d58bce4fc3218659d0944258	-6.087186119999999	-0.09367144496350002	0.19555058493506372	0.09359968040372472	(-6.48223, -5.73305)	(-0.263775, 0.0878936)
7be9bac1b13acbd8acf0de464d7c20e6	-7.564285830000009	-0.16121140320949978	0.20855384761713508	0.09891400780419195	(-7.95443, -7.15627)	(-0.333674, 0.0455794)
2ab8310e1e510f8045c7f4d191fa36be	-8.24363587999999	-0.4122929893944997	0.40300815140270446	0.1951366894610958	(-9.01885, -7.5008)	(-0.776065, -0.04136)
a66dd8d31584930c2b0f811f572dddcf	-6.46718391500001	-0.1801289347525	0.277746336970486	0.1324211506995876	(-6.96214, -5.95618)	(-0.422443, 0.0603577)
10155b2834300619ce0102110a37b057	-7.003469169999996	0.025509015490050007	0.13961018235362035	0.06605097686868647	(-7.25725, -6.72569)	(-0.0989044, 0.151245)
fca904abacabcc0591dd00b0427f9180	-10.047551560000013	-0.016225919758399984	0.28610670714327296	0.13606483789103013	(-10.6312, -9.53217)	(-0.287788, 0.23567)
ef6752ce31dcb9e16b1155bbaa1a268d	-8.197119710000004	-0.29143275634145005	0.34832983076764423	0.16737381213455474	(-8.85298, -7.57209)	(-0.596833, 0.0163132)
a24dae6b87885a55d81df1ea6d1abaf5	-5.97774802	0.10021363868700031	0.2739546775442602	0.13076201377620883	(-6.50535, -5.48786)	(-0.138822, 0.346178)
79280cea51a6fe8a3432b2f266dd34db	-3.407431814999996	-0.12227607589600034	0.11330959157218692	0.053689214206884564	(-3.60519, -3.18781)	(-0.224204, -0.0260195)
cba33b3578113908d449fc66ccb245d4	-6.328332324999995	0.07367225040000003	0.16090337030324883	0.07682431877056473	(-6.62763, -6.02858)	(-0.0659013, 0.21687)
ef1616938612ecae94c31842853cb904	-9.257918755000007	0.19536218389900012	0.18094730722146704	0.08461141835037247	(-9.58275, -8.93098)	(0.0427126, 0.351923)
a378e30f9be477f7777e409c8faea14c	-9.008334764999988	0.12713701279840003	0.24032566047250306	0.11301522902982392	(-9.45756, -8.54827)	(-0.0915818, 0.328381)
