	Feature	Intercept_mean	fruits_fg_eaten_mean	Intercept_std	fruits_fg_eaten_std	Intercept_hdi	fruits_fg_eaten_hdi	lower	upper	credible	Taxon
370	b835514e2678e3c7ba13bfe0a0d79bb4	-8.917558869999983	0.00200246720455	0.1744070976669902	0.0008175639061613	(-9.2605, -8.62213)	(0.000458491, 0.00348403)	0.00154397620455	0.0014815627954499998	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Coprobacillaceae; g__Thomasclavelia; s__Thomasclavelia saccharogumia
371	28bb502265419a0e86626d75a1183ce7	-8.672326379999978	0.0020151581726249	0.1983810521277059	0.0009741436059698	(-9.02853, -8.29397)	(0.000159148, 0.00382026)	0.0018560101726249	0.0018051018273750998	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__; s__
372	d6c46ad81c01997055a3b713c0d5ee1b	-6.789787724999997	0.0020273279407314	0.1916107736051767	0.0009023509890624	(-7.12876, -6.40991)	(0.000322742, 0.00374214)	0.0017045859407314001	0.0017148120592686	yes	d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__Anaerotardibacter; s__
373	e91f1c5b67ffecb5ca3ca3b393a50f00	-5.024132495000004	0.00206985408935	0.1364259752056953	0.0006463989094073	(-5.26556, -4.75789)	(0.000769535, 0.00320856)	0.00130031908935	0.0011387059106500001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__SFMI01; s__
374	30c16856bd5bae4cd2f1182341b30ffc	-9.457979715	0.002079119359965	0.1828918903739822	0.0009107599793589	(-9.77939, -9.09693)	(0.000343862, 0.00370449)	0.0017352573599650001	0.001625370640035	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia_A_166204; s__Roseburia_A_166204 hominis
377	8aff935557eab67b0baa4553b8518105	-9.179545284999994	0.00209265159705	0.1679528322908512	0.0008163406077263	(-9.50272, -8.87594)	(0.000683207, 0.00370485)	0.0014094445970500003	0.0016121984029499998	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus_A_187866; s__Coprococcus_A_187866 catus_A
378	1a389bf765c8ff0f92600f684fbe7ad7	-6.282622435	0.0021040862485	0.1270417771326455	0.0006062682045081	(-6.50708, -6.03682)	(0.000896476, 0.00313223)	0.0012076102485	0.0010281437515000003	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium; s__Faecalibacterium duncaniae
380	266c2a374ca451985731e1e1b5961bd2	-8.779282940000005	0.0021274478349499	0.1396162791086927	0.0006528718477942	(-9.02944, -8.51384)	(0.000925572, 0.00333344)	0.0012018758349499003	0.0012059921650500998	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_J; s__Eubacterium_J plexicaudatum
381	25e04b2be57def00437d44ab461e8773	-8.252653469999988	0.0021416293015549	0.2161467333698548	0.0010519770597776	(-8.63522, -7.82599)	(0.000216869, 0.00409828)	0.0019247603015549	0.0019566506984451002	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus_A_121497; s__Coprococcus_A_121497 eutactus
382	51625f89e7332f46ab0641e10cede6ea	-7.858623229999994	0.0022374077047999	0.2037494963669041	0.0009893841797736	(-8.22117, -7.45974)	(0.000484588, 0.00418863)	0.0017528197047999002	0.0019512222952000995	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia_D; s__Roseburia_D yibonii
383	ea3af29626a95b6c7b89d631bf1a739c	-5.824739765	0.0023340174519999	0.099191883008615	0.0004839590850467	(-6.01895, -5.65429)	(0.00140543, 0.00321179)	0.0009285874519999	0.0008777725480000999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira eligens
384	f4dfb45b33372cdc0dc2fd20c0d0b448	-8.677859179999992	0.00245829758219	0.2482334275421577	0.0011931389148202	(-9.10964, -8.21122)	(0.000293207, 0.00464893)	0.00216509058219	0.00219063241781	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__CAG-272; g__Avispirillum; s__Avispirillum sp011957885
385	aa3e2d76e864d7909b51110e211ef36c	-9.264830410000023	0.002486369714415	0.2038255258701221	0.0009945172100052	(-9.61654, -8.86514)	(0.000623725, 0.00438279)	0.001862644714415	0.0018964202855850003	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__UBA737; s__UBA737 sp900547445
386	3bff9ab82e7f2a76cc22e687ac7b72fd	-7.211854270000001	0.00254035678395	0.2089455139003158	0.0010405651962569	(-7.60615, -6.82268)	(0.000698156, 0.0045374)	0.00184220078395	0.0019970432160499995	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Butyribacter; s__Butyribacter intestini
387	1243750138937650754b619370565800	-6.630631015000016	0.002654196695	0.1473470728189732	0.0007106723254238	(-6.94979, -6.37543)	(0.00116887, 0.00391489)	0.001485326695	0.0012606933049999999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira sp000437735
388	f8529e2e737999b4a7d06420482d4af3	-9.000026135000002	0.002660245508715	0.2117715442475964	0.0010195630138457	(-9.38874, -8.60101)	(0.000671782, 0.00453702)	0.001988463508715	0.001876774491285	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__; s__
389	68ee181a51a55ca3814763c9214cfd8a	-9.205328440000002	0.00268935394	0.1220326742039458	0.0005787465544656	(-9.44595, -8.99273)	(0.00161073, 0.00377616)	0.0010786239399999998	0.0010868060600000003	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium; s__Faecalibacterium duncaniae
390	9c25197937d1f54e2634026fbca6b55f	-7.5659372050000036	0.0026941352949499	0.2540484301396843	0.0011694232477071	(-8.0444, -7.10901)	(0.00043857, 0.00478884)	0.0022555652949498997	0.0020947047050501	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Jutongia; s__
391	96936173022b85940115c9ea103505bd	-8.68208789500002	0.0027793959375	0.1153511078291794	0.0005572933487359	(-8.89831, -8.47977)	(0.00179082, 0.00384406)	0.0009885759375	0.0010646640624999999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira eligens
392	79d5bee84cddbb27acb4dd7df378c789	-7.835431465000001	0.002779924476	0.1624148796899587	0.0007681309175694	(-8.11702, -7.51112)	(0.00136818, 0.00428022)	0.0014117444759999998	0.0015002955240000005	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__SFMI01; s__
393	f45b62ab6ec22fb20364a7e05088158f	-7.786494964999994	0.0027934356219999	0.1746798137450311	0.000837146320442	(-8.09603, -7.45934)	(0.00124853, 0.00434396)	0.0015449056219998998	0.0015505243780001001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Muricoprocola; s__Muricoprocola aceti
394	6c83fec6e8d03fad51eabc871853c991	-8.91573177499999	0.0028145156304499	0.1982235120892558	0.000976553709287	(-9.29952, -8.54327)	(0.00105429, 0.00481652)	0.0017602256304498998	0.0020020043695501005	yes	d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella_A; s__Veillonella_A parvula
395	cebcb0fe524fb1cf0bfb5463ae228bed	-9.392080279999998	0.0030157017565	0.1621985311537116	0.000776149184667	(-9.68555, -9.0857)	(0.00164284, 0.00456991)	0.0013728617565000002	0.0015542082434999997	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira sp000437735
396	b10627ff6db16c65eed2f21380dd700f	-6.749099735000003	0.0032639303016499	0.2445747289731296	0.0012155500410727	(-7.21615, -6.28632)	(0.00100225, 0.00553567)	0.0022616803016499	0.0022717396983501005	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Limivicinus; s__Limivicinus sp002320035
397	e82ab12c51a893c6d7938a16632199a8	-8.206166374999999	0.003351655358	0.1900818421091539	0.0009541988689806	(-8.56522, -7.85431)	(0.00160912, 0.00515182)	0.0017425353580000002	0.0018001646419999995	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Acetatifactor; s__Acetatifactor acetigignens
398	a4e2a4e1321a599651edf92f6999e78e	-8.243154050000001	0.00359835510725	0.2307027664261908	0.0011178747046417	(-8.6601, -7.79583)	(0.00151312, 0.00578158)	0.00208523510725	0.00218322489275	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__MOL361; f__Turicibacteraceae; g__Turicibacter; s__Turicibacter bilis
399	f10155af1849a17996f302d71b32398c	-8.93019155500001	0.0037546780864999	0.2054467902273773	0.0009652735954423	(-9.34136, -8.56231)	(0.00199908, 0.00567753)	0.0017555980864999003	0.0019228519135001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Suilimivivens; s__Suilimivivens aceti
400	1986030e3c5cd5df6d869054bc96e536	-8.624224550000012	0.00429746806	0.1598904340834606	0.0007784464086232	(-8.92737, -8.34066)	(0.0029358, 0.00580997)	0.00136166806	0.00151250194	yes	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Pasteurellaceae; g__Haemophilus_D_735815; s__Haemophilus_D_735815 parainfluenzae_P
