Feature	Intercept_mean	fruits_fg_eaten_mean	Intercept_std	fruits_fg_eaten_std	Intercept_hdi	fruits_fg_eaten_hdi
ccce7fe8aa849bed027f6898300e0c45	-8.73269781499999	0.0007942061870605004	0.1434651660201032	0.000699247322051142	(-8.96379, -8.42184)	(-0.000363189, 0.00225606)
363c1c39d58bce4fc3218659d0944258	-6.172621989999983	-0.0005877018337535004	0.09969033128312842	0.00048238428801405795	(-6.35875, -5.99333)	(-0.00145084, 0.00032788)
7be9bac1b13acbd8acf0de464d7c20e6	-7.680112959999992	-0.0012035621370849999	0.1125811134566469	0.0005359717958011851	(-7.89639, -7.47127)	(-0.00221596, -0.000207271)
2ab8310e1e510f8045c7f4d191fa36be	-8.960018469999996	-0.0006032291467021998	0.16197957485917502	0.0008024879351508305	(-9.24194, -8.64263)	(-0.00205154, 0.000969186)
a66dd8d31584930c2b0f811f572dddcf	-6.73920486999999	-0.0004937052743155003	0.1343264044824513	0.000640077665959644	(-6.98091, -6.48835)	(-0.00174172, 0.000624633)
10155b2834300619ce0102110a37b057	-7.011518560000005	0.00033064243676400026	0.06344410077876744	0.00031116908033335946	(-7.13299, -6.89365)	(-0.000231187, 0.000947117)
fca904abacabcc0591dd00b0427f9180	-10.05049976499998	-0.0001684810256493001	0.139479721014543	0.0006626166359616796	(-10.2905, -9.79408)	(-0.00143047, 0.000983548)
ef6752ce31dcb9e16b1155bbaa1a268d	-8.517716804999985	-0.0015114596460280008	0.1791468600521427	0.0008830415492254039	(-8.838, -8.18668)	(-0.00309, 0.000219965)
a24dae6b87885a55d81df1ea6d1abaf5	-5.856785294999997	0.00047939672799259995	0.11591883021844623	0.0005683328889663998	(-6.07231, -5.64842)	(-0.000554109, 0.00156976)
79280cea51a6fe8a3432b2f266dd34db	-3.5861138549999967	-0.0003918029711679998	0.05365941263551967	0.0002542990269016323	(-3.68889, -3.49133)	(-0.000845632, 0.000100554)
cba33b3578113908d449fc66ccb245d4	-6.144624964999988	-0.00017539012325099972	0.08005878494705478	0.0003779099573768345	(-6.28854, -5.99185)	(-0.000862019, 0.000547499)
ef1616938612ecae94c31842853cb904	-8.996298909999997	0.0007800630728044979	0.09491722787045515	0.0004532496186464214	(-9.16616, -8.81665)	(-4.76978e-05, 0.00166066)
a378e30f9be477f7777e409c8faea14c	-8.857979530000009	0.0006008949583500005	0.12693556768565334	0.0006232771792222414	(-9.0758, -8.59802)	(-0.000668332, 0.0016919)
322498f1025a569812be6e3fe4f63ff7	-7.700363645000001	-0.001341601854835003	0.1611945364749189	0.0007923041938577686	(-7.98068, -7.39822)	(-0.00273305, 0.000245706)
d75b7080930e7a77ef3de8c6154895b9	-5.049744934999997	0.001932679484276997	0.8242498374267931	0.0056707344356797685	(-5.38413, -4.31962)	(-0.00165137, 0.00324671)
9bf0d2dbffe7925240ea811d2a4cd625	-8.933545729999988	-0.00037546007640750016	0.09739465129598808	0.0004776681542204781	(-9.10229, -8.73759)	(-0.00120681, 0.000556041)
a167e4d4418792dcaba877443ed0e66d	-8.434679829999991	-0.0008970319447700004	0.19767642629426269	0.0009391196498614711	(-8.7797, -8.04235)	(-0.00267346, 0.000823434)
ac0202d177961ffb380b6859272bde53	-8.149596895000004	0.0007109055649549992	0.1638244155918432	0.0007811073963658854	(-8.44199, -7.8106)	(-0.000691621, 0.00222727)
e3ab3e4772986724760dbd52b7af55f7	-8.070124875000008	-0.0005895719064749998	0.12074571336070017	0.0005758709472780636	(-8.31515, -7.86538)	(-0.00159044, 0.000539756)
481e48328fe7a9837c7233de8f60fc23	-8.775302519999995	-0.0024080711359999955	0.141960884505027	0.0007096978437508881	(-9.02574, -8.49953)	(-0.00371734, -0.0010541)
be17b29b03ed02bed133932284568d16	-6.6236587099999955	0.0007024302372350001	0.10045430699644446	0.0004937097989812454	(-6.81251, -6.43254)	(-0.000183969, 0.00166111)
5f9d6c173705f19cd3a1e5145c52789a	-9.138385764999983	0.001288320541185	0.181233220778131	0.000876597398867232	(-9.50155, -8.82901)	(-0.000295047, 0.00296926)
1ef782a559e3e0a4ab42516e0a2c828f	-8.300128845000005	-0.001687231908629997	0.16892548191026716	0.0008333099448546909	(-8.61623, -8.00258)	(-0.00329194, -0.000144524)
97f56e68f535e44ceb53d05f269e82d6	-6.838517750000007	0.00018307168990400028	0.07812711866399219	0.0003817402316060622	(-6.98072, -6.69197)	(-0.00048561, 0.000937615)
3f38509af22157cdcb4006457529d25e	-8.659316360000021	-0.0012446832733650015	0.13837607868649263	0.0006541482574796479	(-8.92497, -8.41374)	(-0.00231729, 0.000151802)
ccee9fc92f4182805278384a02a4d7d3	-9.588112164999997	-0.0008075979201325003	0.1441115113617327	0.0006952421900843007	(-9.85681, -9.32088)	(-0.00221842, 0.000438809)
b3bf877149e7a31ad9a7397a3ca8b011	-9.545255644999983	0.0011325603768200018	0.1536804116492533	0.0007171741614260625	(-9.84548, -9.27827)	(-0.000130608, 0.00257819)
33852dc244bb69590e8e756a83bb2f4c	-9.364159335	-0.0009212055600644998	0.13595751624977487	0.0006661707883564366	(-9.61062, -9.10781)	(-0.00213301, 0.000379468)
8f5959f21dc9ce9a281656f8d699ec07	-7.1484005400000035	0.0015560340632499966	0.12716181478065036	0.0006259622916557034	(-7.38981, -6.9109)	(0.000427913, 0.00278542)
2086666afdd5de098b04a94247040c11	-8.161404659999995	0.0014161524310946983	0.15128662737692464	0.0007244113945947735	(-8.44564, -7.8883)	(0.00010956, 0.00278698)
96169c3701e79f42346c41eb7b5bf2af	-9.678194240000005	0.0011924721480545003	0.14475234290270536	0.0007044779411004371	(-9.93447, -9.39982)	(-0.000105291, 0.002513)
d05c86b5bfc092d8677507fb1eae8d66	-5.579192290000005	-0.0004878753123810004	0.16832074458799148	0.0008079627101734805	(-5.87964, -5.27884)	(-0.00191762, 0.00111934)
25dd2ae928b2e5e1ac2e28dbe2112991	-6.374582539999994	0.0001868549099699999	0.07613558290016828	0.0003535462167508611	(-6.50586, -6.22914)	(-0.000504628, 0.00084216)
cebcb0fe524fb1cf0bfb5463ae228bed	-9.385378564999995	0.002972270134500004	0.15738211946911487	0.0007661303198500528	(-9.66741, -9.08565)	(0.00149159, 0.00436063)
90104f2fbcc925a6619e805c7a625c57	-8.797435090000004	0.0013132092775049997	0.17566380076894583	0.0008486653178072591	(-9.11389, -8.47381)	(-0.000259453, 0.00288534)
4c2189b6b5ced3cb80093414e9449de9	-6.043555225000011	0.0005415833555350011	0.06872949817254137	0.0003302934658462681	(-6.16672, -5.90602)	(-8.27468e-05, 0.0011401)
c4e57b91cc2be5a2232b3612abdf4c0c	-7.686223635000015	-0.0024558828093750023	0.1922818485521626	0.0008922463663451497	(-8.01515, -7.30269)	(-0.00411442, -0.000737389)
1600415004247da005dd77bd44c633d9	-8.118363669999999	0.0006132397879994987	0.08817368049271342	0.00041764261801720563	(-8.28496, -7.95211)	(-0.000130955, 0.00141324)
3b092a59cd0e2d57483420cc994ec49c	-5.713667865000014	0.00013195004219099986	0.11926863095504946	0.0005782376143770373	(-5.94184, -5.48909)	(-0.000967749, 0.00122542)
2c5c5d710e1b9229efa72f98ca7b4e71	-8.845670154999997	7.715234839500006e-05	0.1879628407886142	0.0009065045667203921	(-9.19406, -8.49919)	(-0.00162505, 0.00169044)
db093685d2f3295cfa4da0a44d3d9ad0	-8.309885914999997	0.00137252094924	0.12402745901115125	0.0005936120955145617	(-8.54518, -8.08656)	(0.000233722, 0.00246212)
63a2de21003c952fd04b694d8444e66f	-6.9752942600000045	-0.0007792248348525004	0.14068056287509087	0.0006676086931522785	(-7.22579, -6.69171)	(-0.00210865, 0.000393208)
59196a586276f0be745d0e334fc071c6	-3.337460469999994	-0.0002963728670039996	0.052286303584008514	0.0002473655099724845	(-3.43864, -3.24463)	(-0.000780456, 0.000134004)
8507091bac6b1be88f3d360d6d535d0e	-8.246246835000006	0.0010212502660450007	0.09470118526413894	0.000464876208621688	(-8.41254, -8.07253)	(0.00021601, 0.00192014)
8f649d1053a0ead08b37f8e06fbb2818	-8.412452339999998	0.00017796949040385033	0.10016333887717802	0.0004670161211725786	(-8.59492, -8.22812)	(-0.000695573, 0.00103451)
8a70333f85e6869971ef357eceadf3ef	-8.095837400000008	0.00039377482322500054	0.12586387375748456	0.0006185438830644312	(-8.32526, -7.84851)	(-0.000767058, 0.00155415)
8e0da29b36fbc3879561566e87f11ea7	-9.122504609999996	0.00199092479875	0.15096968180183704	0.0007253544600657086	(-9.41536, -8.84132)	(0.000694387, 0.00339195)
5093cebf67405c910fb68525ffa6dc3d	-10.06850258000004	-0.0004931607735250006	0.12994055314390351	0.000633458051606387	(-10.3141, -9.82581)	(-0.00170869, 0.000648055)
bde648dc2bd51d522327b0bb99e98340	-9.76409386	0.0002507592049560001	0.12644472608377286	0.0006073326245754857	(-10.0051, -9.54655)	(-0.000846661, 0.00141863)
8720f9ecd2331ce68e2896df1bf2d977	-3.572819085000006	-0.0005509856621400006	0.08266121996929865	0.0003878227803148503	(-3.74005, -3.43089)	(-0.00126679, 0.000205556)
3af2ddaf4af4b5ae4100439a9c3d4099	-8.902694420000003	-0.00029297782635330017	0.11153054937802283	0.0005442393615451869	(-9.10861, -8.70102)	(-0.00126823, 0.000772164)
de24ab68045830f7ea823f771a1f7dd3	-6.311910369999992	-0.00027771168307900063	0.09995622473494634	0.0004546331191950481	(-6.48714, -6.11745)	(-0.00113286, 0.000556376)
aec9d6920c8746590e4dff84ba121b90	-7.923551040000002	5.857288350999995e-05	0.11610253621742461	0.0005499156872944952	(-8.14603, -7.72457)	(-0.000962782, 0.00104807)
192522c9b7c41f7a761f8a2ba792268a	-6.86098457000001	0.0002560275228281001	0.116736533752785	0.0005620013078110303	(-7.10486, -6.67245)	(-0.000796369, 0.00128047)
458157e555a80f9ba01d9da37ef787eb	-5.321631894999986	0.001733866758895002	0.14283084135423624	0.0006963156485395695	(-5.61963, -5.0772)	(0.000432492, 0.00299687)
3017f87a3b0f5200ed54eca17eef3cbb	-8.643048429999997	-0.0003315645399649999	0.15254857731829266	0.0007233644849161802	(-8.92828, -8.36836)	(-0.00167083, 0.000995864)
c5e3c5422835403541b0af331a2cc649	-8.03360834999999	-0.003163575474150007	0.18866570262020974	0.0009168993380670426	(-8.39642, -7.70127)	(-0.00494202, -0.00146356)
be7fc30c58dc772f88007fdefcf21a96	-8.000101215000003	0.00043978953988800025	0.08856633700099475	0.0004245328010672746	(-8.16499, -7.83541)	(-0.000322035, 0.00126508)
3d766867c97f511431bf97e059d6498f	-5.716393125000001	-9.694919984700004e-05	0.09194620603637962	0.00043347863991335267	(-5.8824, -5.54107)	(-0.000901808, 0.000748517)
9099a7f671b923c7b07c12508f17270a	-7.9376805400000086	-0.0009355899556449995	0.12294644048165194	0.0005938877280170062	(-8.22003, -7.74084)	(-0.00194585, 0.000287645)
4973330392dab23937c67af9843e5359	-8.269066270000007	0.0013528250578999982	0.1314867910319782	0.0006375989461090998	(-8.53137, -8.05717)	(0.000152342, 0.00249881)
2cf53730a41137e7ad95ed3680541d80	-9.306344654999998	0.0007853253030905002	0.18950183257367478	0.000933246049593594	(-9.67245, -8.98071)	(-0.00103431, 0.00244855)
2a0968119cb66a61a416f8d924c224ac	-6.5501722900000034	0.0018461404201200013	0.24756254470164882	0.0011829053577855073	(-7.03866, -6.1063)	(-0.000282445, 0.00411473)
a4e2a4e1321a599651edf92f6999e78e	-8.273096695000007	0.0036921403643499985	0.23606807756455983	0.0011590792115262739	(-8.76007, -7.86386)	(0.00147772, 0.00584375)
782772ed674928794b78f5a59ee3d08c	-9.612142484999982	0.001087446554594996	0.13318368160016758	0.0006376500161520859	(-9.8833, -9.38526)	(-0.00016459, 0.00225397)
