Feature	Intercept_mean	fiber_eaten_mean	Intercept_std	fiber_eaten_std	Intercept_hdi	fiber_eaten_hdi	lower	upper	credible
4973330392dab23937c67af9843e5359	-8.785181515	0.029160136	0.219188488	0.008327238	"(-9.22131, -8.41424)"	"(0.0150723, 0.0459436)"	0.014087836	0.016783464	yes
810926a593979f3574e3bbe7defd3559	-10.19251061	0.02980278	0.325316073	0.012430826	"(-10.8096, -9.61046)"	"(0.00872233, 0.0540037)"	0.02108045	0.02420092	yes
77f4d90aa6eb8080927f59ee8bbac375	-9.981469515	0.03117354	0.164450126	0.00620288	"(-10.3135, -9.69646)"	"(0.020015, 0.0429834)"	0.01115854	0.01180986	yes
96169c3701e79f42346c41eb7b5bf2af	-10.26660835	0.031271046	0.269835167	0.010239894	"(-10.785, -9.76455)"	"(0.0109647, 0.0493215)"	0.020306346	0.018050454	yes
266c2a374ca451985731e1e1b5961bd2	-9.191693915	0.031323929	0.249156382	0.009356116	"(-9.66359, -8.73244)"	"(0.0136174, 0.0484944)"	0.017706529	0.017170471	yes
69d052e452e79d571cba042af265d50c	-5.927648545	0.031641793	0.341009864	0.012933849	"(-6.56327, -5.29173)"	"(0.00658967, 0.0546086)"	0.025052123	0.022966807	yes
8a20667bca2eaf2a0687995af876a84c	-7.46601404	0.032016005	0.388226395	0.014902764	"(-8.21311, -6.75602)"	"(0.00415615, 0.0593585)"	0.027859855	0.027342495	yes
8f5959f21dc9ce9a281656f8d699ec07	-7.696442125	0.032556997	0.238604394	0.00913895	"(-8.15963, -7.27008)"	"(0.0149232, 0.0490191)"	0.017633797	0.016462103	yes
913d55d109820d0f3fad120be103c64f	-9.219919765	0.032597308	0.280677396	0.010730796	"(-9.78046, -8.72548)"	"(0.0128636, 0.052456)"	0.019733708	0.019858692	yes
96936173022b85940115c9ea103505bd	-9.01079617	0.033599748	0.216685975	0.008288556	"(-9.43222, -8.6265)"	"(0.018835, 0.0495741)"	0.014764748	0.015974352	yes
4ed55370307d6700d110b6d3f1196136	-8.552681715	0.034442071	0.481619298	0.018411428	"(-9.45691, -7.69323)"	"(0.00139726, 0.0697522)"	0.033044811	0.035310129	yes
41df3b4c55182503ecd97c6dbe47966a	-7.604036325	0.034504026	0.171169945	0.006577599	"(-7.90078, -7.2527)"	"(0.0225882, 0.0472829)"	0.011915826	0.012778874	yes
25e04b2be57def00437d44ab461e8773	-8.777382655	0.035471193	0.340566968	0.012950478	"(-9.41783, -8.16344)"	"(0.0130418, 0.0610915)"	0.022429393	0.025620307	yes
1a389bf765c8ff0f92600f684fbe7ad7	-6.825410065	0.036169264	0.23500387	0.008953456	"(-7.29461, -6.42119)"	"(0.0208073, 0.0541947)"	0.015361964	0.018025436	yes
b10627ff6db16c65eed2f21380dd700f	-7.063207375	0.036433106	0.415506682	0.015810435	"(-7.8345, -6.294)"	"(0.00524685, 0.0641023)"	0.031186256	0.027669194	yes
e9d9bafcf863ec0908ce4e20e6386ff9	-10.44231898	0.037115086	0.225312837	0.008410017	"(-10.8368, -9.99865)"	"(0.0213725, 0.052847)"	0.015742586	0.015731914	yes
6d8fe4ac153ead767024e041ff1f0ec6	-9.313527005	0.037832083	0.423731289	0.016431134	"(-10.0792, -8.49913)"	"(0.00705483, 0.0672084)"	0.030777253	0.029376317	yes
55d4d3011e1f3bb8e4e5089b801b61a4	-10.46038432	0.039532192	0.292944551	0.011077934	"(-10.9788, -9.86309)"	"(0.0201398, 0.0612487)"	0.019392392	0.021716508	yes
6c83fec6e8d03fad51eabc871853c991	-9.449083825	0.040631257	0.305032126	0.011675476	"(-9.98621, -8.82888)"	"(0.0181719, 0.061013)"	0.022459357	0.020381743	yes
9c25197937d1f54e2634026fbca6b55f	-8.119360915	0.040957003	0.444907542	0.017058161	"(-8.93346, -7.2781)"	"(0.00972001, 0.0726799)"	0.031236993	0.031722897	yes
68ee181a51a55ca3814763c9214cfd8a	-9.78441985	0.042232402	0.247246674	0.009461009	"(-10.2618, -9.34929)"	"(0.0260822, 0.0612254)"	0.016150202	0.018992998	yes
c8fce068920feb387167d44c01689295	-7.47878542	0.042975828	0.314589551	0.012034658	"(-8.01121, -6.85659)"	"(0.0193291, 0.0644407)"	0.023646728	0.021464872	yes
686d42b9552375c3b61301ae5605e3a2	-7.630788355	0.043299805	0.349395529	0.013268193	"(-8.27734, -6.97068)"	"(0.0147215, 0.065407)"	0.028578305	0.022107195	yes
30c16856bd5bae4cd2f1182341b30ffc	-10.2299527	0.044096107	0.298613508	0.011291857	"(-10.7662, -9.68218)"	"(0.0237991, 0.0646276)"	0.020297007	0.020531493	yes
f45b62ab6ec22fb20364a7e05088158f	-8.425958035	0.044578146	0.300769624	0.01140977	"(-8.96221, -7.84599)"	"(0.0249703, 0.0673131)"	0.019607846	0.022734954	yes
1243750138937650754b619370565800	-7.372203455	0.047551065	0.280636679	0.010762852	"(-7.92927, -6.86541)"	"(0.0289011, 0.0703523)"	0.018649965	0.022801235	yes
cebcb0fe524fb1cf0bfb5463ae228bed	-10.15938407	0.050733789	0.287329907	0.010927125	"(-10.7242, -9.65225)"	"(0.0314879, 0.071779)"	0.019245889	0.021045211	yes
b423592b0ae631882095792b27729b9c	-10.14956559	0.052522272	0.368598688	0.014090147	"(-10.8083, -9.42525)"	"(0.0258644, 0.0783068)"	0.026657872	0.025784528	yes
3bff9ab82e7f2a76cc22e687ac7b72fd	-8.161317165	0.054200495	0.382182575	0.014498849	"(-8.82395, -7.42756)"	"(0.02721, 0.0810105)"	0.026990495	0.026810005	yes
1986030e3c5cd5df6d869054bc96e536	-9.25713402	0.05564066	0.277526198	0.010553654	"(-9.78416, -8.74416)"	"(0.0359202, 0.0752525)"	0.01972046	0.01961184	yes
51625f89e7332f46ab0641e10cede6ea	-9.726302495	0.084688936	0.408342089	0.015733507	"(-10.4387, -8.91396)"	"(0.0571427, 0.116024)"	0.027546236	0.031335064	yes
