Feature	Intercept_mean	HEI_mean	Intercept_std	HEI_std	Intercept_hdi	HEI_hdi
cae14798faeabb8e1b8840e712839921	-9.72549004500002	0.04332012842500004	0.6466091270516119	0.011215191365513988	(-10.8817, -8.5059)	(0.0211154, 0.0623217)
4311a44a7d56ce4086afad3e75bedd6e	-7.642308735	-0.008590150944410006	0.4890772120805159	0.008441994648068402	(-8.5198, -6.7003)	(-0.0241267, 0.00725083)
ab153c3e19553cead3d76fb9e00684c2	-8.136081909999998	0.02129033956090002	0.8082521120285129	0.014025819518073053	(-9.59693, -6.61496)	(-0.00487166, 0.0462954)
fc1856f132cd513b1251fa39ad4ccd01	-7.7502501699999895	-0.005754626060594998	0.2824027858826309	0.004870031109093876	(-8.26578, -7.23684)	(-0.0143279, 0.00342795)
8ef31508d9a2fc6f83935de5607a686c	-8.497269355000013	0.02069608349856499	1.1510941194006825	0.019913924481981878	(-10.7148, -6.45638)	(-0.0157264, 0.0578462)
21ce8465657612a85e2f89e74d285ce1	-10.496867909999988	0.0061558943141599935	0.6168118696358167	0.010670664989957574	(-11.6162, -9.26293)	(-0.0156722, 0.0248216)
69d052e452e79d571cba042af265d50c	-7.959471894999991	0.04899695938000001	0.8744133398776913	0.015100420460840498	(-9.5845, -6.39927)	(0.0223582, 0.0773468)
79d5bee84cddbb27acb4dd7df378c789	-10.50797820000002	0.05504292294999991	0.665117722009164	0.01152423201568712	(-11.7195, -9.20826)	(0.0323546, 0.0757116)
0f0a1f8c92368be6e8d3145bd4e94cd1	-4.727463194999999	-0.008288494858150001	0.5490940774510702	0.00952357964139261	(-5.71314, -3.70888)	(-0.0260378, 0.00859656)
64d05989cb6f8053633b2127793200b3	-5.959084925000018	-0.02608602047449999	0.430943747735008	0.00747806608843629	(-6.78899, -5.152)	(-0.0410405, -0.012723)
bac3d8ea4685e825ef8d12b2a6979577	-6.377820914999988	-0.019017629488450004	1.0341125927150356	0.017915029378601503	(-8.19803, -4.37669)	(-0.0543799, 0.0125921)
a8d23fd98a311df2db65e5842634aba3	-7.820729109999996	0.009956521294600002	0.3229696009814359	0.005563208894084718	(-8.40958, -7.22163)	(-0.000232936, 0.0203459)
41239266f2952a56a313fc4798f28a1c	-6.536261364999993	-0.005089741292369995	0.4939256293205359	0.008564799104326976	(-7.481, -5.63284)	(-0.0211406, 0.0111595)
2b982979f2401a8bc447d7141879e9b2	-3.0026287749999976	-0.015255780218049996	0.2297027945582057	0.003977094310473909	(-3.43519, -2.5648)	(-0.0227515, -0.00781478)
251429848560a80abcb96640ceb102db	-5.243597180000001	-0.002229616312390003	0.4486157025024285	0.007766986736392915	(-6.12939, -4.47234)	(-0.016154, 0.0129625)
7b34b797cadb639f63827c6d332dd4e9	-8.344331359999993	0.0026182803396349987	0.426801002104553	0.00738959483952453	(-9.12013, -7.53625)	(-0.0109338, 0.0166003)
2a99ec1157a90661db7ff643b82f1914	-5.563132244999989	-0.014683534926149997	1.069296903064958	0.0185333969345815	(-7.66229, -3.62998)	(-0.0510337, 0.0181843)
2a7f11895ae7fe9fdffa52016207c561	-4.144287670000002	-0.03274739980250008	0.5025121940969898	0.00870087907692949	(-5.10773, -3.21137)	(-0.0491467, -0.0164081)
0cfd41d10227f0de9092d5cda028c12d	-7.525728875000004	-0.018788935588500037	0.4641943342730331	0.008050379089004063	(-8.32955, -6.61434)	(-0.034603, -0.00467566)
a9387e76477da8688775569cf540191b	-8.155712669999998	0.03612034858799997	0.6797094255301098	0.011751622699970932	(-9.43986, -6.92641)	(0.0151345, 0.0590906)
bb769f42c78f86faa2801cb2c2abb8dc	-11.513574259999977	0.04966959914999997	0.6701562144547737	0.011578562556567385	(-12.7447, -10.2779)	(0.0287166, 0.0716289)
68ee181a51a55ca3814763c9214cfd8a	-11.155636775	0.04256523395000008	0.5952400580903046	0.010245331095885211	(-12.198, -10.0421)	(0.0231611, 0.0606132)
88956ab21ebb7e44b2dd317dd412818a	-9.543755224999984	0.018249481075254998	0.6584093444084385	0.011460125599213831	(-10.8176, -8.28475)	(-0.00424024, 0.0398443)
ca9dec36ad0aa5a1473144ddcb74951d	-5.4472841600000015	0.00493552351114	0.3788114340440298	0.006583150436680618	(-6.16485, -4.75347)	(-0.00667054, 0.0176521)
ae171d16e3cb68ad19636a58839a1ef1	-10.66062191499999	0.029484062869099978	0.8148651292111979	0.014121918777352426	(-12.2118, -9.20188)	(0.0045293, 0.0566757)
77f4d90aa6eb8080927f59ee8bbac375	-10.95365692000002	0.03076184429999994	0.42896965010034627	0.0073781962810579565	(-11.7388, -10.0869)	(0.0162868, 0.0445527)
a7b427a226422d10e62536b8d41e02fe	-9.290370505000007	0.019731366208950014	1.0298701623331445	0.017835730365921287	(-11.4016, -7.48699)	(-0.0149088, 0.0535108)
2480f3aa1e7784b461d9b5b83a6bfc81	-6.831529934999987	-0.019187552613224954	0.6647034649763354	0.01154457053670574	(-8.15696, -5.62762)	(-0.0405403, 0.00348674)
9000b563231e32a7003bf2ef20bf9a60	-8.44865844999999	0.017684366703599984	0.45883083033270294	0.007914352099395247	(-9.35654, -7.63804)	(0.00364831, 0.0332376)
a186bb74dfce512f83043f7b366c60c4	-5.174384535000002	-0.02051651056160501	1.1152399017683974	0.01944514348511166	(-7.3641, -3.15239)	(-0.056156, 0.0174334)
aad2c8fbb5e1201340fe4357731fc9ee	-7.496062714999987	-0.00859514848943138	0.7819825878415577	0.013518652411155324	(-9.03558, -6.07229)	(-0.0337173, 0.0177127)
490d2aec117bd7289577684ba3cc1b64	-9.555298025000027	0.04668401894499992	0.7922185455219722	0.013737438481428051	(-11.0174, -8.13444)	(0.0200228, 0.0703779)
457d3865cf0a4bc602a07d8d5324388f	-6.895653794999991	-0.030763517370649952	0.7807485104691824	0.013520387664141794	(-8.4168, -5.47505)	(-0.0566881, -0.00584807)
552e00cb506f739acaf08aa5641f9d84	-8.546269215000006	0.03279033035949992	0.5810690800770022	0.010063816628998478	(-9.7823, -7.57307)	(0.0149777, 0.0535731)
9dc78fd8f2f7cb10e190e77af61c7ecd	-9.958520329999986	0.031223585189999972	0.36738171651552165	0.006366959822417198	(-10.7245, -9.34506)	(0.0191325, 0.0429287)
a3607a88a8ed64e24a374847b23e404f	-6.251446814999987	-0.0033411861635199982	0.4290452088126674	0.007451105695149196	(-7.04679, -5.44846)	(-0.0176993, 0.0100977)
5bb151262388870fd53a84ea6f1ffdf2	-9.933019489999998	0.008816684023591988	0.7786780628009495	0.013540565095751963	(-11.4009, -8.5154)	(-0.0163993, 0.0332692)
f7962a90f4519ec1d1a9c7b8ef7bf396	-9.811974799999996	0.013046332430570004	0.5980076012764054	0.010357266178058887	(-10.8992, -8.65211)	(-0.00606404, 0.0326222)
77ad88eed91eef009bf64f101c96baa6	-4.868215990000005	-0.005700730434570005	0.8158291341803864	0.01421626906077171	(-6.2328, -3.25035)	(-0.0327236, 0.0195891)
08be83d0a527ddd1da0861135192e593	-8.945836559999995	0.0074800455004	0.8134885121027626	0.01415237227230891	(-10.4844, -7.41022)	(-0.0199151, 0.0332892)
b61862b15d33865612e76c1db7b995a1	-10.578469909999969	0.027563007252500046	0.4702207877226311	0.008116060804304407	(-11.4834, -9.70776)	(0.0120237, 0.0426168)
14f11556b1fc9132c5ab27b67a2479bf	-9.141180109999992	-0.0008997429160799998	0.5892227251426984	0.010252365612044968	(-10.1966, -8.05513)	(-0.0198455, 0.0176202)
514b34f09e4acd2397d38273c630d338	-7.231224110000011	-0.022537474177100007	0.9784097318607411	0.016934277932120132	(-8.92891, -5.17738)	(-0.0557954, 0.00952114)
ba88d4e4e6a24ecc2a5aab6bdfbb77f5	-8.333470334999996	0.009309560743100005	0.392155191607784	0.006809465832008856	(-9.06542, -7.58865)	(-0.00373607, 0.0218428)
1c94105978b1aa2095e3c0096774f240	-7.997108039999999	-0.0036898922321999972	0.585616453979273	0.010139664734825152	(-9.0523, -6.90366)	(-0.0224488, 0.0151109)
27b636c66fa117272ed27920bad78969	-9.429481185000007	0.01799244673196002	0.6873904982469905	0.011850826842265422	(-10.6806, -8.14431)	(-0.00399242, 0.0401718)
7201d53bd647437ec3de879774eba498	-6.369216874999999	-0.006159189184300005	1.0098513936860136	0.017458680393322636	(-8.25504, -4.59561)	(-0.0371516, 0.0266993)
f8529e2e737999b4a7d06420482d4af3	-11.511864019999987	0.051728301649999926	0.9124594460714073	0.01568589303098866	(-13.3243, -9.87606)	(0.0227645, 0.0827777)
959d48a11e3b26c9268f0bd1dae6ec40	-5.460304510000004	0.021448992400000023	0.2700744672997797	0.004680852977044392	(-5.98296, -4.97043)	(0.012735, 0.0300874)
bd0f4e14387ee1ac7e5fe586cadbbed4	-8.113019384999994	-0.013492632245299997	0.3584265222567547	0.006212807198190506	(-8.73642, -7.43349)	(-0.0250624, -0.00266234)
66047b69a772cae3e37186eb74254da7	-9.406378635000006	0.009873559439015016	0.8110693635435791	0.014051073354599155	(-11.1078, -8.12339)	(-0.0145184, 0.0376088)
4207ad1746e5fbce9c5ed5efe1e357d9	-7.237190125000009	-0.00270519204199265	0.3607538949022368	0.006232008630937207	(-7.90272, -6.5465)	(-0.0144542, 0.00890722)
30207d209491dfb7de83344e77fd6fbd	-7.104707789999998	0.013746934715950015	0.36447346896449934	0.006292209202317613	(-7.79929, -6.42849)	(0.0025829, 0.0265603)
3e93fd55a231bb99b67a666bad8446a8	-7.713567680000003	-0.009652826661464987	0.39622691423604417	0.006881744994657959	(-8.43269, -6.96175)	(-0.0226111, 0.00294113)
d39f37b814ebd81091a949f8bd9d1710	-5.657022860000013	-0.010161330716880008	0.5754683452881845	0.009922447226275737	(-6.68017, -4.51975)	(-0.0302776, 0.00729781)
706b0d627a9ba61b18e6b7b39622ac1f	-8.185333904999995	-0.014264997216994982	0.5967308843707527	0.010326388541314768	(-9.31468, -7.14183)	(-0.0326009, 0.00514571)
32382a0f5831da5faee464d011b5616c	-5.6713670400000185	-0.004035454911077505	0.9778451392453918	0.017120723029270046	(-7.5432, -3.92189)	(-0.0360757, 0.0276842)
fcd575ef43a2ae77d9b7c10639e80fd8	-10.452285865000007	0.010936934101700003	0.687270018041491	0.01186781288937929	(-11.7174, -9.16264)	(-0.0106076, 0.0338229)
fdb1c35a8dab336d65ed22d796e71e4b	-8.474678939999997	0.030113422279864993	1.1173631971580584	0.019443345680589204	(-10.4711, -6.3282)	(-0.00728055, 0.0657397)
25def15fb42bed6855ede4893d27a21d	-6.279084534999986	0.017347878259450028	0.8079303424566896	0.01402365636094728	(-7.72613, -4.72093)	(-0.00941242, 0.0429577)
2a13ecb6c618ddf8154298c69336dd8e	-7.061530169999985	-0.026127468507850003	0.9189498972660436	0.01592763504903977	(-8.71843, -5.27401)	(-0.056832, 0.00327782)
9ad89cc951aa3031c19c59c95e401614	-9.088880349999993	-0.009710158694605007	0.6353041433517314	0.011006788495231179	(-10.183, -7.78723)	(-0.0299341, 0.0111747)
55d4d3011e1f3bb8e4e5089b801b61a4	-11.88897145	0.04245330942	0.6958254794136229	0.011975961396595899	(-13.1714, -10.544)	(0.0201265, 0.0659724)
4ed55370307d6700d110b6d3f1196136	-10.512180525000007	0.048808325067149966	1.0279645760876561	0.017867225288692837	(-12.475, -8.63356)	(0.015001, 0.08191)
154c25181234441402124e02c204074c	-9.635762010000025	0.0026703079654400034	0.7007026106267618	0.01217789281741453	(-10.9766, -8.37291)	(-0.0193702, 0.0260169)
370829fece3190f1a8efccf50b7d0921	-4.752089960000007	-0.051640642650000144	0.4676216173040958	0.008158265360346268	(-5.6157, -3.85446)	(-0.0677062, -0.0373018)
b1a153ff5a21342991138e7f7dd2658e	-8.137628269999984	0.02534634406705002	0.8067400059312828	0.013965068657157947	(-9.64022, -6.71119)	(0.00216374, 0.053223)
e39b1ae9776ee98190c8cb02bc9de792	-9.59303976499999	0.0070536449502650025	0.609950540511683	0.010593675758565292	(-10.7943, -8.45233)	(-0.012104, 0.0285625)
e71461ffe18aa4dc3b1f7ba4a1011cff	-9.243565124999996	0.03084519816499999	0.5607136878922113	0.00971576862611127	(-10.3125, -8.27902)	(0.0141679, 0.0496935)
90c2b51afe404951ec89bd52c7ae1f58	-8.108438739999988	-0.015255194768054979	0.9470081022520942	0.016521950487951475	(-9.84742, -6.33188)	(-0.0471563, 0.0142533)
c5af8314e36eaed98fc88f181f539e8f	-8.070679100000003	0.013436689200392489	0.43334265825786233	0.007549515040845092	(-8.84667, -7.24479)	(-0.000648236, 0.0272792)
10cd502b01abafc87e2ecbad86389286	-5.494214949999993	-0.010416036449849996	0.3049298616219762	0.005304616322596383	(-6.02903, -4.90322)	(-0.0203552, -0.00114328)
433cf7e272a09b91cc85082a1338b8e1	-8.85533967000001	0.019597366540000022	0.3286824516920412	0.0057025524081864105	(-9.4667, -8.2522)	(0.00922626, 0.0301811)
877f27b47c85f6b2d3cf8a6aa86def40	-7.27793705499999	0.03329683757500002	0.5451053285763925	0.009437877953321688	(-8.30063, -6.2684)	(0.0160026, 0.0512859)
9ed241a051fe72047261df3b7e08b675	-7.108449280000004	0.0014210900332000034	0.39104287432528606	0.0067975815893791544	(-7.79876, -6.35784)	(-0.0113432, 0.0140429)
04c8be5a3a6ba2d70446812e99318905	-5.353707245000011	-0.010985526322120005	0.4246689768996083	0.0073642948851102945	(-6.16074, -4.52352)	(-0.0246951, 0.00364094)
e0b7bd623a1b4cd1640883066e8d96bd	-10.853278435000004	0.022785300647249936	0.6076644727609153	0.010485052062979063	(-11.9295, -9.77224)	(0.00420603, 0.0413938)
6a17479edbe461431433bddb084f731e	-6.90919504	0.007761078268100008	0.5755154767587903	0.009966973680514723	(-7.98841, -5.88508)	(-0.0100139, 0.0267418)
35513c8de34a49ef37dde85737e6aef9	-7.440899584999994	-0.005490149256050003	0.6787827339483362	0.011764212111211824	(-8.7146, -6.13784)	(-0.0270062, 0.0173902)
69536042153447ceb692aa53159ce0c2	-6.268980105000006	-0.018469315732499984	0.3235339849764455	0.005607295053667919	(-6.84634, -5.66415)	(-0.0296033, -0.00880642)
0f92fcc184a951ff8b0914467ad2f8f9	-6.645863234999988	-0.005891319863999994	0.3970139340341652	0.006912528531152592	(-7.45364, -5.95253)	(-0.0183825, 0.00789125)
e9d9bafcf863ec0908ce4e20e6386ff9	-11.503298904999967	0.034970767770000015	0.5711543428541459	0.009837923333709387	(-12.5822, -10.43)	(0.0161445, 0.0533347)
979578981da3916b394bf24c32bace21	-9.002018544999991	0.03815327965749996	0.8091667061241055	0.014057979219486849	(-10.531, -7.55508)	(0.0139863, 0.0665533)
5860dac317300b1fe6094e958240cc7f	-9.695278535	0.03546853110000013	0.34073732613232105	0.005922434201663438	(-10.2994, -9.03829)	(0.0241515, 0.0461441)
3a1461e8439091ad6b93af0ddb3849eb	-8.924352985000006	0.03195651530350002	0.831868381547369	0.014348958889545833	(-10.4017, -7.32653)	(0.00438737, 0.0575715)
d32627161d829a1488c2a047669cb29f	-4.837665227000008	-0.024260149367400057	1.103139368639229	0.01914118249763594	(-6.80255, -2.6524)	(-0.0628943, 0.00939164)
e2c3ff4f647112723741aa72087f1bfa	-1.5689049604999998	-0.030599195249999968	0.38453038983047094	0.006675991023395886	(-2.29978, -0.840384)	(-0.0438495, -0.0186551)
426bd7119a31b73ef734771a071a216c	-8.026366440000004	0.037914867708999954	0.6035020137048647	0.010492731966604458	(-9.11028, -6.87703)	(0.0184454, 0.0578241)
aed0d8840bb7da5eacd80c6f9a1f91ed	-8.99887551	-0.012426303532049992	0.6284003182949864	0.010918346467610526	(-10.2556, -7.89491)	(-0.0311469, 0.00963624)
0b05a2e48cdc5f9e766bb0f4c209d4b4	-7.632914299999995	-0.01991317836650002	0.3888341875679273	0.006762836586250945	(-8.37763, -6.87755)	(-0.0330882, -0.00737142)
31c0a0bcf172474d82c69979df243e78	-5.574276630000009	-0.009638710720345008	0.3214369296078827	0.005564320622838684	(-6.15294, -4.94223)	(-0.0208002, 0.000203324)
f9b9b7db378357774e672fe5ba242b12	-11.317230594999987	0.024224850774000026	0.6001241533104603	0.010323895078250466	(-12.4194, -10.2058)	(0.00508303, 0.0435727)
