	Feature	Intercept_mean	HEI_mean	Intercept_std	HEI_std	Intercept_hdi	HEI_hdi	lower	upper	credible	Taxon
351	6c4de756c45fa6e7e5adfe196f9f0039	-7.391942789999997	0.0298715708052149	0.9310866203208028	0.0143508206180891	(-9.02402, -5.61731)	(0.0037922, 0.0562791)	0.0260793708052149	0.0264075291947851	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Wujia; s__Wujia chipingensis
352	913d55d109820d0f3fad120be103c64f	-10.33133583499999	0.029883051321	0.7362930699146926	0.0112869103799089	(-11.6718, -8.92916)	(0.00969477, 0.0519295)	0.020188281321	0.022046448679000002	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__
353	208c8722c4dd18b60b2b2684272ff26c	-10.358221405000004	0.0300276376849999	0.810028827130786	0.0124439904769018	(-11.7003, -8.58944)	(0.00365752, 0.0514442)	0.0263701176849999	0.021416562315000102	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Ruminiclostridium_E; s__Ruminiclostridium_E siraeum
354	c8fce068920feb387167d44c01689295	-8.322563949999985	0.030200009177	0.7616983737505922	0.011703621313286	(-9.83075, -6.99539)	(0.00857739, 0.0520851)	0.021622619177	0.021885090823	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Butyricicoccaceae; g__Agathobaculum; s__Agathobaculum butyriciproducens
355	a4e2a4e1321a599651edf92f6999e78e	-9.56574528999999	0.0308356138489999	0.8961869368617343	0.0137146997181103	(-11.3184, -7.89986)	(0.00550465, 0.0578385)	0.0253309638489999	0.0270028861510001	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__MOL361; f__Turicibacteraceae; g__Turicibacter; s__Turicibacter bilis
356	3bff9ab82e7f2a76cc22e687ac7b72fd	-8.757777714999996	0.0310308045664999	0.7394499790079304	0.0113225163035646	(-10.2034, -7.47798)	(0.00927485, 0.0507322)	0.021755954566499904	0.019701395433500097	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Butyribacter; s__Butyribacter intestini
357	f655279fdb3e9fe733677c83df662486	-10.686311110000007	0.0316022428099999	0.4630116599050913	0.007109973336853	(-11.4998, -9.80601)	(0.0180097, 0.0439289)	0.013592542809999903	0.012326657190000097	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Dysosmobacter; s__Dysosmobacter sp000403435
358	ea3af29626a95b6c7b89d631bf1a739c	-7.456149344999995	0.0318661136499999	0.4199047195389938	0.0064544017597937	(-8.3164, -6.72203)	(0.0203095, 0.0447944)	0.011556613649999901	0.012928286350000096	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira eligens
359	cebcb0fe524fb1cf0bfb5463ae228bed	-10.91521881999999	0.0322003098239999	0.6579795379171057	0.0101059832708767	(-12.069, -9.64202)	(0.0124193, 0.0496931)	0.0197810098239999	0.017492790176000098	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira sp000437735
360	7076b69bea6fb40b94f8b32fd85fdb46	-11.92761205000001	0.032251515931	0.7237889616522888	0.0110559907899434	(-13.3127, -10.5765)	(0.0106893, 0.0522131)	0.021562215931000002	0.019961584068999998	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Caproiciproducens; s__
361	55d4d3011e1f3bb8e4e5089b801b61a4	-11.531804145000006	0.03228243621	0.7229164457162865	0.0110352173338471	(-12.7931, -10.0693)	(0.0111659, 0.0527048)	0.021116536210000002	0.020422363790000002	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__UBA3402; s__UBA3402 sp003478355
362	6a6880faba39965be0e4b7d88966d1c9	-8.443772160000002	0.0323018874344999	0.6673480029840758	0.0102915895387076	(-9.70203, -7.2065)	(0.0129788, 0.0515631)	0.019323087434499904	0.019261212565500098	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Butyribacter; s__Butyribacter sp003529475
