Feature	Intercept_mean	bread_fg_eaten_mean	Intercept_std	bread_fg_eaten_std	Intercept_hdi	bread_fg_eaten_hdi
9ed241a051fe72047261df3b7e08b675	-6.857006655000008	-0.0013461821151400009	0.1250311350794713	0.0009084133087350797	(-7.07212, -6.61565)	(-0.00292396, 0.000423542)
04c8be5a3a6ba2d70446812e99318905	-5.867618764999999	-0.0008919265831270007	0.12188859247905348	0.0008740683249079493	(-6.08531, -5.64344)	(-0.00254239, 0.000611108)
e0b7bd623a1b4cd1640883066e8d96bd	-9.526443729999981	-6.280998505950005e-05	0.17441038653757726	0.0012715351524737158	(-9.85429, -9.19421)	(-0.00253746, 0.00225817)
6a17479edbe461431433bddb084f731e	-6.449400594999988	-9.848086350500003e-05	0.15401101214749544	0.0011305345210126598	(-6.7274, -6.15522)	(-0.00220931, 0.00199468)
35513c8de34a49ef37dde85737e6aef9	-7.118812134999997	-0.005150890600600002	0.23389134361021552	0.0017091030998882843	(-7.53853, -6.65322)	(-0.00835144, -0.00191216)
69536042153447ceb692aa53159ce0c2	-7.479459040000013	0.0012383624877050012	0.10082328284468038	0.0007432627817313405	(-7.66652, -7.28697)	(-0.000124605, 0.00270123)
0f92fcc184a951ff8b0914467ad2f8f9	-6.901431964999987	-0.0006325122536749996	0.1297385926117929	0.0009488967173111681	(-7.13407, -6.6412)	(-0.00243878, 0.0010397)
e9d9bafcf863ec0908ce4e20e6386ff9	-9.693401284999986	0.0016795005167719991	0.17596324259401122	0.0012589618716372004	(-10.033, -9.34192)	(-0.000600168, 0.00421775)
979578981da3916b394bf24c32bace21	-6.755613604999991	-0.0002463892681979999	0.21337294100390058	0.0015713458292553684	(-7.16884, -6.3831)	(-0.00327187, 0.0026529)
5860dac317300b1fe6094e958240cc7f	-7.490605524999986	-0.0011232114440600024	0.10823853250725625	0.0007774173888043328	(-7.69654, -7.28793)	(-0.00260623, 0.000285677)
3a1461e8439091ad6b93af0ddb3849eb	-7.005745535000004	-0.0004902397408499999	0.31840422060144513	0.0023091156872676573	(-7.55803, -6.35902)	(-0.00490015, 0.00377406)
d32627161d829a1488c2a047669cb29f	-6.770788274999996	0.0042187122264149965	0.37456224622133777	0.002752028601292446	(-7.48946, -6.12954)	(-0.000780707, 0.0093828)
e2c3ff4f647112723741aa72087f1bfa	-3.8793642150000007	0.0043879423850000055	0.13107083004346823	0.0009706869081111901	(-4.12789, -3.65474)	(0.00257027, 0.00616014)
426bd7119a31b73ef734771a071a216c	-5.500739755000014	-0.0026040333199499966	0.15498297991744117	0.0011356329080649662	(-5.79517, -5.22169)	(-0.00476575, -0.000560973)
