Feature	Intercept_mean	folate_eaten_mean	Intercept_std	folate_eaten_std	Intercept_hdi	folate_eaten_hdi
7e9ed2c841e64976eace4b578ff56a26	-4.963838935	-0.13569224242000047	0.10701073873409048	5.076331369839671	(-5.16213, -4.76352)	(-9.38792, 9.59438)
a6099802840e60febef8e896967b7747	-6.933455439999979	-0.010820437450000026	0.03498482427719765	5.167940796299872	(-6.99798, -6.86973)	(-9.89683, 9.31478)
904ad13c7b8512200836d5cd9fb09e1b	-8.93160599	-0.01061972004649998	0.08530058428885408	4.8710076609123645	(-9.07978, -8.76432)	(-9.34066, 8.43989)
1aab913302590e21a7be28b1494a3320	-9.104837245000013	0.14611725580499965	0.04857736161793861	4.972769041468847	(-9.19515, -9.0153)	(-8.94749, 9.35371)
e644522cf6d7222c9da7f9ecf614cd89	-8.758083265000005	0.16862024374499987	0.08235243477147336	4.9634847890292475	(-8.9171, -8.61002)	(-9.18198, 9.36519)
bad4f7c5ada34a1f813946abcfe5c556	-4.6924872199999985	0.20949651835050012	0.03291211385298129	5.1624196303485	(-4.75091, -4.62683)	(-9.37842, 9.80847)
399bcf0feb12a20ca0731d8d65268dae	-6.292984990000002	-0.18241726332000005	0.06666841506815574	4.950126119438032	(-6.4223, -6.17531)	(-9.47108, 8.88337)
32f7e6bfc42fe19c17f9459bd9be4b67	-7.180498630000016	-0.10795639206399997	0.06905362948696545	4.965759959628546	(-7.30217, -7.04042)	(-9.93872, 8.58072)
c942f59feffce9c3ab527135de234101	-5.227329244999997	0.039513041107000144	0.04784865911475448	4.927185313780811	(-5.31226, -5.13557)	(-8.80928, 9.83213)
29bb5fa7f45e47bbabab8cc1b1b3d18e	-8.809202540000003	-0.1288905714890004	0.10344988848639901	5.047022309991613	(-9.00902, -8.62148)	(-9.74373, 8.78273)
7b2ff5940de11da4dc3bb208805dff11	-8.390661395000002	-0.045523968334000055	0.04896962479950176	4.927144152784837	(-8.48159, -8.30085)	(-8.90815, 9.46795)
6c7fa77831ae630967a6fbfc8ee47901	-3.462674309999992	0.12636487346500014	0.02635087532177821	4.967987930320633	(-3.51626, -3.41506)	(-8.94866, 9.37809)
6c83fec6e8d03fad51eabc871853c991	-8.376460289999995	-0.01592642009499994	0.08693414149812437	4.980026034914073	(-8.53838, -8.2167)	(-9.77517, 8.79436)
23597fea41001255f06321d42aefd3bd	-8.398474870000003	0.13161749197499997	0.05747947491307745	4.8694517038385845	(-8.50806, -8.29554)	(-8.81713, 9.36249)
ee02d6d3506da57909d5e603709a295f	-6.76149530000001	-0.2643928470200001	0.03817125579293925	4.8603007981201225	(-6.83516, -6.69065)	(-9.38047, 8.68886)
e6a34eb113dba66df0b8bbec907a8f5d	-5.501723445000006	0.06970676934999992	0.044695580850705734	4.85859124735625	(-5.58063, -5.41694)	(-8.82203, 9.25716)
6c4de756c45fa6e7e5adfe196f9f0039	-5.454701370000005	0.13099816272500003	0.10090484920023955	5.0954345773243945	(-5.63294, -5.26195)	(-9.32032, 10.1281)
60c57911662a9159dfdd0fc05d975a55	-4.258297179999994	0.022743759095000007	0.03727523045331307	5.22744185822476	(-4.32564, -4.18602)	(-9.96154, 10.0656)
1986030e3c5cd5df6d869054bc96e536	-7.773101915000001	0.1046809551664999	0.06984012277181911	5.135291018412558	(-7.89444, -7.63118)	(-8.93742, 10.0673)
ea3433f2c148c6fae4cc2e9ae197f5b8	-5.221930565000002	-0.12257255913499997	0.05195722807493463	5.051914686702575	(-5.32418, -5.12955)	(-9.05549, 9.46627)
059c8f8bb468064b134ea6d3661761ea	-4.910912655	0.06761548696900009	0.053555389548587684	5.096597004418521	(-5.019, -4.81653)	(-9.29787, 9.79262)
8a9f7499cdb85b8efa497bb56256cb43	-6.4141430349999995	0.25429746496000016	0.03400473613099764	4.927694842049907	(-6.47804, -6.35382)	(-8.4804, 9.75226)
8dccd839cf4868a3343e411c063932a6	-9.167060860000008	-0.2201524691311005	0.07251444690446457	4.983133983946674	(-9.30122, -9.03076)	(-9.28434, 9.75213)
