Feature	Intercept_mean	vegetables_fruits_mean	Intercept_std	vegetables_fruits_std	Intercept_hdi	vegetables_fruits_hdi
ef6752ce31dcb9e16b1155bbaa1a268d	-8.497184860000008	-0.0008165949172650007	0.207870319223261	0.0005240004635048001	(-8.86989, -8.09416)	(-0.00184286, 0.000115727)
a24dae6b87885a55d81df1ea6d1abaf5	-6.115981504999994	0.000939227496174999	0.15683149586828848	0.00041132915971878246	(-6.42772, -5.82946)	(0.000158203, 0.00172195)
79280cea51a6fe8a3432b2f266dd34db	-3.5637922200000003	-0.0002574501637155001	0.10390336564746892	0.00028295346849752274	(-3.68547, -3.43653)	(-0.000598463, 2.40761e-05)
cba33b3578113908d449fc66ccb245d4	-6.140168275000002	-0.00010575970561850005	0.10223918140455922	0.0002594833167639847	(-6.33345, -5.94537)	(-0.0006144, 0.000353076)
ef1616938612ecae94c31842853cb904	-9.094224515000004	0.0006653811869325006	0.11427965988995935	0.0002939327842656012	(-9.30748, -8.88024)	(0.000118107, 0.00121203)
a378e30f9be477f7777e409c8faea14c	-9.043229730000014	0.0008042039087700004	0.14746724662218091	0.0003776360952484959	(-9.32257, -8.77955)	(0.000109242, 0.0014964)
322498f1025a569812be6e3fe4f63ff7	-7.813399955000009	-0.0003427112985775993	0.17598812656866364	0.0004442261732422852	(-8.14078, -7.47908)	(-0.00116289, 0.00046398)
d75b7080930e7a77ef3de8c6154895b9	-4.762677565000007	6.344698141934995e-05	0.2465926286905609	0.000585768186735909	(-5.2813, -4.31559)	(-0.000966351, 0.00121771)
9bf0d2dbffe7925240ea811d2a4cd625	-9.057894590000016	0.0001643726760375002	0.12484426141610151	0.00032395342355969283	(-9.2901, -8.82908)	(-0.000464057, 0.000722278)
a167e4d4418792dcaba877443ed0e66d	-8.089665430000014	-0.0014830678984750004	0.24169790222634327	0.0006321865429579806	(-8.49294, -7.59505)	(-0.00262988, -0.000294664)
ac0202d177961ffb380b6859272bde53	-8.360305564999997	0.0009236350824925002	0.19999211883517012	0.0005101148146148819	(-8.7201, -7.98352)	(-2.25648e-06, 0.00190929)
e3ab3e4772986724760dbd52b7af55f7	-7.926304330000003	-0.000720012426647499	0.14207747577378732	0.00036598438057596606	(-8.19237, -7.65955)	(-0.00147606, -0.000104868)
481e48328fe7a9837c7233de8f60fc23	-8.784599940000007	-0.0011484236342299999	0.16358153141689458	0.00042551705742091035	(-9.08049, -8.47612)	(-0.00200924, -0.000402293)
be17b29b03ed02bed133932284568d16	-6.856527324999995	0.0009788126814850018	0.12064115740863221	0.00031902752562111016	(-7.096, -6.64388)	(0.000369367, 0.00157775)
5f9d6c173705f19cd3a1e5145c52789a	-9.315906505000001	0.0011204521920999983	0.2284814856642327	0.0005861661928815103	(-9.7115, -8.85909)	(1.17711e-05, 0.0022427)
1ef782a559e3e0a4ab42516e0a2c828f	-8.217836689999993	-0.0010697879050205006	0.2074377830332359	0.0005408546527572553	(-8.56798, -7.79189)	(-0.00206462, -6.13373e-05)
97f56e68f535e44ceb53d05f269e82d6	-6.87935812000001	0.00020958966406330013	0.09491669521567639	0.0002437792349699395	(-7.06282, -6.70911)	(-0.000217462, 0.000699307)
3f38509af22157cdcb4006457529d25e	-8.744374505000003	-0.00036493938228	0.13620894887471593	0.0003194981602470645	(-9.00147, -8.49292)	(-0.000957039, 0.000213906)
ccee9fc92f4182805278384a02a4d7d3	-9.420705210000003	-0.0008813874757249997	0.1668754891919599	0.0004343589579193231	(-9.76803, -9.15329)	(-0.00176214, -0.000132397)
b3bf877149e7a31ad9a7397a3ca8b011	-9.517442995000003	0.0005110213631985003	0.17298929328250326	0.00042185934972288825	(-9.82714, -9.17802)	(-0.000240051, 0.00127373)
33852dc244bb69590e8e756a83bb2f4c	-9.300262595	-0.000644564218325	0.16139194567175896	0.0004245143985714301	(-9.60003, -9.00338)	(-0.00134643, 0.000215416)
8f5959f21dc9ce9a281656f8d699ec07	-7.557048729999999	0.001858529926999995	0.15294271283159314	0.00040751801803732033	(-7.86012, -7.28522)	(0.00106557, 0.00259732)
2086666afdd5de098b04a94247040c11	-8.308217490000013	0.0011251350907150025	0.19670489020052345	0.000506470840763869	(-8.65519, -7.90588)	(0.000193423, 0.00210076)
