	Feature	Intercept_mean	CV_fruits_fg_eaten_mean	Intercept_std	CV_fruits_fg_eaten_std	Intercept_hdi	CV_fruits_fg_eaten_hdi	lower	upper	credible	Taxon
0	e82ab12c51a893c6d7938a16632199a8	-6.522058280000004	-0.01154449104	0.2768224408568454	0.002697979246826	(-7.02264, -5.98089)	(-0.0167783, -0.00680071)	0.005233808959999999	0.004743781040000001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Acetatifactor; s__Acetatifactor acetigignens
1	686d42b9552375c3b61301ae5605e3a2	-5.519395070000004	-0.011179629255	0.2314875989693512	0.0022761011923201	(-5.98012, -5.07596)	(-0.0152008, -0.00670843)	0.004021170745	0.004471199255000001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia_A_166204; s__Roseburia_A_166204 hominis
2	f10155af1849a17996f302d71b32398c	-7.218163585000008	-0.0110336288849999	0.2392178249307477	0.0023012076622676	(-7.68767, -6.79061)	(-0.0153854, -0.00665747)	0.0043517711150001005	0.0043761588849998995	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Suilimivivens; s__Suilimivivens aceti
3	b10627ff6db16c65eed2f21380dd700f	-5.179714299999998	-0.0109069041999999	0.2360727354382755	0.0023042804219473	(-5.63053, -4.76109)	(-0.0150402, -0.00654411)	0.0041332958000000995	0.004362794199999901	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Limivicinus; s__Limivicinus sp002320035
4	30c16856bd5bae4cd2f1182341b30ffc	-8.126068214999997	-0.01074647606	0.2099950984124719	0.0021198764536113	(-8.51116, -7.73242)	(-0.0148648, -0.00697347)	0.00411832394	0.0037730060599999995	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia_A_166204; s__Roseburia_A_166204 hominis
5	79d5bee84cddbb27acb4dd7df378c789	-6.439174885000007	-0.00974014985	0.1994629340080174	0.0019313885177812	(-6.76835, -6.02958)	(-0.0134093, -0.00619017)	0.0036691501500000015	0.003549979849999999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__SFMI01; s__
6	1986030e3c5cd5df6d869054bc96e536	-6.982616624999997	-0.0091344869499999	0.1533697422970363	0.0014739587987804	(-7.25672, -6.69202)	(-0.0117294, -0.00624337)	0.0025949130500000986	0.002891116949999901	yes	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Pasteurellaceae; g__Haemophilus_D_735815; s__Haemophilus_D_735815 parainfluenzae_P
7	29bb5fa7f45e47bbabab8cc1b1b3d18e	-8.058350719999986	-0.0084777756185	0.2142718587782389	0.0020686550932135	(-8.44938, -7.64117)	(-0.0124109, -0.0047539)	0.003933124381500001	0.0037238756184999992	yes	d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella_A; s__Veillonella_A parvula
8	e91f1c5b67ffecb5ca3ca3b393a50f00	-3.8804686649999978	-0.0084105168499999	0.1606413598080139	0.0015771538308942	(-4.16258, -3.57775)	(-0.0112644, -0.00551683)	0.0028538831500001006	0.0028936868499999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__SFMI01; s__
9	6c83fec6e8d03fad51eabc871853c991	-7.669647885000008	-0.0080122751949999	0.1791920662615306	0.0017314015212589	(-8.00899, -7.36379)	(-0.0114375, -0.00502217)	0.0034252248050001006	0.002990105194999899	yes	d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella_A; s__Veillonella_A parvula
10	f45b62ab6ec22fb20364a7e05088158f	-6.558288174999991	-0.0077746933084999	0.1989396949012924	0.001889473861768	(-6.95327, -6.19463)	(-0.0111127, -0.00416272)	0.0033380066915000995	0.0036119733084999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Muricoprocola; s__Muricoprocola aceti
11	96936173022b85940115c9ea103505bd	-7.446271294999976	-0.00772468611	0.1389630355438917	0.0013461620715143	(-7.69596, -7.18001)	(-0.0102479, -0.00519204)	0.0025232138900000006	0.00253264611	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira eligens
12	b835514e2678e3c7ba13bfe0a0d79bb4	-7.862635860000001	-0.0075500419775	0.2357623182450081	0.002307773572711	(-8.33708, -7.45796)	(-0.0120536, -0.00345384)	0.0045035580225	0.0040962019775	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Coprobacillaceae; g__Thomasclavelia; s__Thomasclavelia saccharogumia
13	9c25197937d1f54e2634026fbca6b55f	-6.399782804999999	-0.0072260032295999	0.3111567692977	0.0029427544377715	(-6.96307, -5.81217)	(-0.0129378, -0.00197399)	0.0057117967704000995	0.0052520132295999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Jutongia; s__
14	a4e2a4e1321a599651edf92f6999e78e	-6.940811414999999	-0.00705750493	0.2147110446738774	0.0019554510322663	(-7.3681, -6.54478)	(-0.0106708, -0.0032454)	0.0036132950699999996	0.00381210493	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__MOL361; f__Turicibacteraceae; g__Turicibacter; s__Turicibacter bilis
15	aa3e2d76e864d7909b51110e211ef36c	-8.163813439999979	-0.0070111015154999	0.242193113290957	0.0023414083175096	(-8.62677, -7.69746)	(-0.0114779, -0.00248595)	0.004466798484500099	0.0045251515154999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__UBA737; s__UBA737 sp900547445
16	28bb502265419a0e86626d75a1183ce7	-7.687666809999992	-0.0068449030389999	0.240033048982893	0.0023346307006859	(-8.10278, -7.21131)	(-0.0110574, -0.00254521)	0.0042124969610001	0.0042996930389999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__; s__
17	8f5959f21dc9ce9a281656f8d699ec07	-6.245340379999994	-0.006786417905	0.1514821199807276	0.0014620777307893	(-6.54964, -5.97829)	(-0.00943712, -0.00393933)	0.0026507020950000005	0.002847087905	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_141781; s__
18	09ee2c2d76be17c9ede2d4c57412adeb	-8.403887600000013	-0.0067090062414999	0.2162752936605102	0.0021364894259416	(-8.84135, -8.03282)	(-0.0107136, -0.00268281)	0.0040045937585001	0.0040261962414999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__; s__
19	cebcb0fe524fb1cf0bfb5463ae228bed	-8.211395760000018	-0.0066850640899999	0.1804031663051466	0.0017552740215294	(-8.53118, -7.85938)	(-0.0103281, -0.00374386)	0.0036430359100000998	0.0029412040899999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira sp000437735
20	ea3af29626a95b6c7b89d631bf1a739c	-4.776823329999997	-0.00662582745	0.1081028666387302	0.00102705562424	(-4.99474, -4.58913)	(-0.00844685, -0.00465066)	0.0018210225500000007	0.00197516745	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__Lachnospira eligens
21	7dfa96abfa7484bb6c9cfa90dc9b606f	-5.178248199999995	-0.006559425605	0.1398679792610161	0.0013235306194616	(-5.4294, -4.90801)	(-0.00907486, -0.00407247)	0.002515434395	0.0024869556050000005	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_J; s__Eubacterium_J plexicaudatum
22	f4dfb45b33372cdc0dc2fd20c0d0b448	-7.636033730000011	-0.00649638219545	0.289459759860653	0.002799993825968	(-8.14474, -7.05998)	(-0.0118417, -0.00129318)	0.00534531780455	0.0052032021954500005	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__CAG-272; g__Avispirillum; s__Avispirillum sp011957885
23	266c2a374ca451985731e1e1b5961bd2	-7.807955630000007	-0.00641309635	0.162498248929652	0.0015431309276294	(-8.13797, -7.53982)	(-0.00927021, -0.00340815)	0.002857113649999999	0.0030049463500000004	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_J; s__Eubacterium_J plexicaudatum
24	27b636c66fa117272ed27920bad78969	-7.824394915000002	-0.0064122435754999	0.1833954252918886	0.0017875207030137	(-8.14726, -7.4828)	(-0.00973751, -0.00305478)	0.0033252664245000995	0.0033574635754999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__Clostridium_T celatum
25	b9fefd4224e459a6a0d21db63b1c0d03	-8.357487955000005	-0.0063299187269	0.2382591061333602	0.0023684695392246	(-8.80002, -7.91507)	(-0.0106943, -0.00181373)	0.004364381273100001	0.004516188726899999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Alitiscatomonas; s__Alitiscatomonas sp900066535
26	1a389bf765c8ff0f92600f684fbe7ad7	-5.313038675000004	-0.0062554064	0.1349613511491136	0.0012784397619903	(-5.57294, -5.07921)	(-0.00862068, -0.00394838)	0.0023652736000000004	0.0023070264000000004	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium; s__Faecalibacterium duncaniae
27	03fdbec0c9b63a05ae79f92c6d3a4cfc	-6.5519925949999855	-0.00620568985325	0.2512910258555127	0.0023914406121606	(-7.03471, -6.09855)	(-0.0108054, -0.00198402)	0.00459971014675	0.004221669853249999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__COE1; s__
28	68ee181a51a55ca3814763c9214cfd8a	-8.129900634999979	-0.006008317195	0.1414065579417969	0.0013385892580549	(-8.36277, -7.83001)	(-0.00875321, -0.00368157)	0.002744892805000001	0.0023267471949999998	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium; s__Faecalibacterium duncaniae
29	90104f2fbcc925a6619e805c7a625c57	-8.01244545500001	-0.0059427948745	0.2063131615231876	0.002004286605467	(-8.41808, -7.66964)	(-0.00979596, -0.00240391)	0.0038531651254999997	0.0035388848744999997	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__; s__
