Feature	Intercept_mean	CV_fruits_fg_eaten_mean	Intercept_std	CV_fruits_fg_eaten_std	Intercept_hdi	CV_fruits_fg_eaten_hdi
154c25181234441402124e02c204074c	-9.305410954999987	-0.0019395606209499999	0.19313754558639779	0.0018215359523956667	(-9.67767, -8.96508)	(-0.00514672, 0.00160361)
370829fece3190f1a8efccf50b7d0921	-8.156055230000003	0.004882096143	0.12921692945449173	0.0012017455281480537	(-8.36999, -7.89379)	(0.00262849, 0.00706066)
b1a153ff5a21342991138e7f7dd2658e	-6.159131780000003	-0.005604860963199988	0.2415629239343893	0.002322379735079545	(-6.59575, -5.70267)	(-0.00982078, -0.00132312)
e39b1ae9776ee98190c8cb02bc9de792	-9.081816804999994	-0.0011115506394299987	0.17206072040893583	0.0016109902844992955	(-9.40424, -8.76941)	(-0.0042542, 0.00197825)
e71461ffe18aa4dc3b1f7ba4a1011cff	-7.363096379999999	-0.0010021273530975013	0.1326046486658579	0.0012440845371060067	(-7.58182, -7.08112)	(-0.00344752, 0.00120429)
90c2b51afe404951ec89bd52c7ae1f58	-9.214643504999982	0.002449964911535003	0.24354381495690877	0.002398644107405411	(-9.68402, -8.77706)	(-0.0018275, 0.00710412)
c5af8314e36eaed98fc88f181f539e8f	-7.169826430000002	-0.0013360014739354999	0.11780677115495139	0.0011366328871014698	(-7.37481, -6.93058)	(-0.00354498, 0.000698569)
10cd502b01abafc87e2ecbad86389286	-6.152351895000015	0.0006632042835049996	0.08974844044360311	0.0008580576284103412	(-6.32373, -5.98643)	(-0.000942429, 0.00230291)
433cf7e272a09b91cc85082a1338b8e1	-7.596101714999983	-0.0013541178986500016	0.09098952682429329	0.0008621818712943206	(-7.76733, -7.4325)	(-0.00291039, 0.000229799)
877f27b47c85f6b2d3cf8a6aa86def40	-4.958394115	-0.004225252101500007	0.1341766395372786	0.0012943381734392407	(-5.20282, -4.68565)	(-0.00693117, -0.00200366)
9ed241a051fe72047261df3b7e08b675	-7.049204355000001	0.00025771428772750033	0.11355133621135402	0.0010805251222284805	(-7.24406, -6.82351)	(-0.00154823, 0.00251105)
04c8be5a3a6ba2d70446812e99318905	-6.055533545000014	0.000782327884146001	0.10321374641433659	0.0009602020815547053	(-6.25971, -5.86633)	(-0.000950418, 0.00269083)
e0b7bd623a1b4cd1640883066e8d96bd	-9.061038140000013	-0.005183939846300005	0.1840275015511006	0.0017800518344958831	(-9.39934, -8.71265)	(-0.00849593, -0.0020051)
