Feature	Intercept_mean	zinc_eaten_mean	Intercept_std	zinc_eaten_std	Intercept_hdi	zinc_eaten_hdi
7e9ed2c841e64976eace4b578ff56a26	-4.966447799999991	0.3325545982299997	0.11476206445624801	5.04579316663168	(-5.1836, -4.75764)	(-9.42165, 9.32588)
a6099802840e60febef8e896967b7747	-6.927297319999999	-0.7859173186499989	0.051046916287054975	4.807627051907078	(-7.01804, -6.82662)	(-9.19597, 8.48765)
904ad13c7b8512200836d5cd9fb09e1b	-8.932469514999998	0.7218621594299997	0.09308149999497638	4.887147069320515	(-9.1092, -8.75863)	(-8.20295, 10.1315)
1aab913302590e21a7be28b1494a3320	-9.127984730000001	2.582518443029996	0.06320701090011376	4.653738508944466	(-9.24073, -9.00517)	(-5.89932, 11.2427)
e644522cf6d7222c9da7f9ecf614cd89	-8.756888130000016	-0.4373927086300001	0.09006518787968579	4.924504948735709	(-8.92436, -8.5881)	(-9.65448, 8.82875)
bad4f7c5ada34a1f813946abcfe5c556	-4.704837160000008	1.427951642260501	0.04946979528393464	4.711747046021787	(-4.79482, -4.61195)	(-7.14343, 10.7895)
399bcf0feb12a20ca0731d8d65268dae	-6.281324270000017	-1.8729314873100043	0.07968122599186768	4.904274412510761	(-6.42595, -6.12998)	(-11.3549, 7.29904)
32f7e6bfc42fe19c17f9459bd9be4b67	-7.182315445000019	-0.009181621190000004	0.0731742727070244	4.640480096370247	(-7.31918, -7.03793)	(-8.73101, 9.02644)
c942f59feffce9c3ab527135de234101	-5.25291815499999	2.7890780501899983	0.060123777770911685	4.593631509253679	(-5.37157, -5.14362)	(-5.77114, 11.1306)
29bb5fa7f45e47bbabab8cc1b1b3d18e	-8.784897585000005	-2.5344858625499995	0.1054929125425865	4.967817648626477	(-8.97158, -8.57607)	(-11.9901, 6.51624)
7b2ff5940de11da4dc3bb208805dff11	-8.39327461	0.10728727370449967	0.05810992854450862	4.5995265746715726	(-8.49901, -8.28443)	(-8.85532, 8.45449)
6c7fa77831ae630967a6fbfc8ee47901	-3.4640816000000005	0.10539827456999978	0.045274610386396484	4.693183038233073	(-3.54774, -3.37918)	(-8.48332, 9.13629)
6c83fec6e8d03fad51eabc871853c991	-8.381654630000025	-0.48288790973999995	0.0946706048357308	4.922000533999619	(-8.54945, -8.19575)	(-9.11799, 9.12243)
23597fea41001255f06321d42aefd3bd	-8.399017789999984	-0.059903166020000106	0.06689946324086544	4.923524615174184	(-8.51873, -8.27285)	(-9.52721, 9.36911)
ee02d6d3506da57909d5e603709a295f	-6.7740593150000015	1.39767857761	0.05184828902076494	4.514964045282584	(-6.8725, -6.67754)	(-7.23051, 9.76293)
e6a34eb113dba66df0b8bbec907a8f5d	-5.509664034999994	1.1756482307349996	0.058314613007108024	4.736608806448727	(-5.62154, -5.40888)	(-7.23729, 10.1759)
6c4de756c45fa6e7e5adfe196f9f0039	-5.460852749999992	0.5097259248210002	0.10679336863886958	4.933721826984297	(-5.64926, -5.24958)	(-9.07691, 9.60678)
