Feature	Intercept_mean	phosphorus_eaten_mean	Intercept_std	phosphorus_eaten_std	Intercept_hdi	phosphorus_eaten_hdi
bac3d8ea4685e825ef8d12b2a6979577	-6.955702109999991	-0.557061571043499	0.3980730103018135	0.4062647694779161	(-7.72337, -6.23089)	(-1.25773, 0.269648)
a8d23fd98a311df2db65e5842634aba3	-7.603845259999996	0.3747698522934992	0.15356504754706515	0.1595757996839517	(-7.89479, -7.31184)	(0.0807775, 0.686429)
41239266f2952a56a313fc4798f28a1c	-6.885872090000003	0.05777588153149998	0.21241536555445273	0.2206016072428994	(-7.27322, -6.489)	(-0.394242, 0.434726)
2b982979f2401a8bc447d7141879e9b2	-3.9016829850000034	0.031843701532500004	0.09552268243375393	0.09977065702043866	(-4.07241, -3.71815)	(-0.146177, 0.228341)
251429848560a80abcb96640ceb102db	-5.47670797999999	0.11502246791000006	0.20363592964705318	0.2095842367165842	(-5.88741, -5.10695)	(-0.256152, 0.543921)
7b34b797cadb639f63827c6d332dd4e9	-8.285350975000009	0.09793292476324983	0.1830759031716063	0.1892524131693707	(-8.64555, -7.96789)	(-0.253616, 0.459495)
2a99ec1157a90661db7ff643b82f1914	-6.837910709999993	0.46789932811549967	0.47064141471485094	0.49150628578629507	(-7.71654, -5.96832)	(-0.463803, 1.31042)
2a7f11895ae7fe9fdffa52016207c561	-5.820559120000007	-0.18697055783340003	0.22719889890869985	0.2357463842253113	(-6.25905, -5.41688)	(-0.612784, 0.263038)
0cfd41d10227f0de9092d5cda028c12d	-8.469323089999993	-0.13894913170079992	0.21930977549154532	0.22831800746193062	(-8.87304, -8.06716)	(-0.54638, 0.288469)
a9387e76477da8688775569cf540191b	-6.750804629999996	0.7243665030049995	0.3220448555103204	0.3361225123183239	(-7.3088, -6.11944)	(0.108987, 1.3423)
bb769f42c78f86faa2801cb2c2abb8dc	-8.978682840000005	0.39025150277900017	0.3243057704149502	0.3400182497986883	(-9.61217, -8.41861)	(-0.211231, 1.02804)
