Feature	Intercept_mean	coffee_fg_eaten_mean	Intercept_std	coffee_fg_eaten_std	Intercept_hdi	coffee_fg_eaten_hdi
89aabf43d24dd5bd0fd0f5aca189d341	-5.291086675000003	8.411788723627994e-05	0.0371060876864481	0.00017048205145179677	(-5.35498, -5.21495)	(-0.000224324, 0.000418198)
2ae8a432208b85a14e86eb821c86ce2b	-4.1995637050000045	-0.0006210653777554999	0.05845858829481748	0.0002657496968305444	(-4.30658, -4.08589)	(-0.00112838, -0.000143117)
f596fa835cdfdb22d6494b012f61fff2	-5.5214182949999895	-0.0009003939440275003	0.07325198592763865	0.00033242623238304074	(-5.65009, -5.37844)	(-0.00149917, -0.000269201)
f7895578be91c3e9c71c7b89e3e798db	-9.033518080000011	0.0008142906349468484	0.18057588963566995	0.0008069350323860619	(-9.37047, -8.68597)	(-0.000734199, 0.00225078)
8b40296c81e6ffbc10306d4a2ccab530	-9.279627544999997	-0.0008192958960200005	0.07654640312857924	0.0003649905212515769	(-9.43775, -9.14626)	(-0.00149778, -0.000136536)
40a6b537d995aeb12b0100e2cb6ad879	-6.980835279999994	-0.0007750837608413504	0.09659463677928297	0.0004491529381137007	(-7.1638, -6.79449)	(-0.00159234, 9.57443e-05)
9ac5fec396208e598ab2e2d26985d0df	-8.275112920000005	0.0007835411630500008	0.06007718070094171	0.0002667659177810875	(-8.38682, -8.16349)	(0.000328705, 0.00131548)
19cb3add28813b2bf3e1f40a000d33c2	-4.405723800000003	-4.233620900999997e-05	0.0980123869965426	0.00043533254615751177	(-4.58444, -4.2084)	(-0.000833903, 0.000811036)
686d42b9552375c3b61301ae5605e3a2	-6.480293660000005	-8.037073926799998e-05	0.1497903594975472	0.0007058155117306098	(-6.74829, -6.1976)	(-0.00129521, 0.00131462)
51625f89e7332f46ab0641e10cede6ea	-7.124882985000008	-0.001986882408300001	0.1657234599824048	0.0007559721517339824	(-7.4173, -6.79838)	(-0.00338785, -0.000583176)
ddd87ec4b9d332c2d8c02f5d1b08dbb4	-7.502542384999997	0.0002943222416097999	0.07030803410394701	0.0003096432257867491	(-7.62942, -7.37679)	(-0.000291271, 0.000865175)
588a23811b3e98af68f4f0fb24a0daa8	-5.700596055000005	0.0012401329713404988	0.11984651971787481	0.0005378141577573122	(-5.93385, -5.49316)	(0.000226655, 0.002263)
7c82a2ef7685c5c6dc3080f56033cee9	-8.674699609999987	-0.0015097025375149962	0.14669591082558472	0.0006802779024821844	(-8.96233, -8.4085)	(-0.00282559, -0.000246559)
b835514e2678e3c7ba13bfe0a0d79bb4	-8.739914580000004	0.0011027580918710005	0.14830720128545208	0.0006474558364648263	(-9.01423, -8.46594)	(-0.000103587, 0.00227865)
c162a4f3943238810eba8a25f0563cca	-5.277148264999995	4.160501031249995e-06	0.06291548239296725	0.0002898080232085239	(-5.38203, -5.14117)	(-0.000541609, 0.000544818)
5b00db3216a94bcd5c4842499bf6bf6e	-8.211452919999997	0.0013776772094999997	0.08751755497140903	0.00039139493760384763	(-8.35945, -8.02931)	(0.000646279, 0.00210636)
beef5a54aaee13f217ecede427cb3071	-7.599615780000009	-6.485040004150004e-05	0.14748684833940826	0.0006667488307867652	(-7.85886, -7.31767)	(-0.00133835, 0.00116972)
f7686a74ca2d3729eb66305e8a26309b	-3.7600151599999907	0.00016002180351975019	0.041398742888817265	0.00019109946905780905	(-3.83723, -3.68377)	(-0.000203841, 0.00049709)
5ca5ea401c8d3569e69626d2f81d5578	-6.062238420000001	0.0004699412415099999	0.18841413701737877	0.0008621552894633363	(-6.39583, -5.69317)	(-0.00112092, 0.00205582)
b6d740387526e21887b761f90fbc914a	-8.855514175000003	0.0019631430344999997	0.12170677836348874	0.00048103230884666466	(-9.07397, -8.63006)	(0.00103426, 0.0028069)
5e69d50b5a886d1b222f36de84a9dc98	-9.185752795000006	-0.0001969832358260001	0.14377946495323293	0.0006503276403669156	(-9.45524, -8.92988)	(-0.00137593, 0.00105828)
208c8722c4dd18b60b2b2684272ff26c	-8.805516730000003	0.0020941202750999984	0.1616899456398174	0.0007260298291177538	(-9.14399, -8.54186)	(0.000828301, 0.00357258)
95fb1be2ae50b6d347649ea76c2a1874	-9.081601254999997	0.00035066131381749965	0.1185611581141774	0.0005390699408324643	(-9.3141, -8.85858)	(-0.000601211, 0.00138587)
ea2b0e4a93c24c6c3661cbe347f93b74	-4.333361450000005	-0.00024327995152500053	0.0667318831578841	0.00029889930029257915	(-4.45072, -4.21177)	(-0.000847594, 0.000264035)
04b5dd98584b9ead93ed64c586994296	-7.663502245000001	-0.0004682360503599998	0.09444535952713595	0.0004310927913618168	(-7.82848, -7.48684)	(-0.00125942, 0.000339393)
ec6c9ea52e88226c339487585ea02f42	-5.4154273949999965	-0.00047039519549050055	0.10409891547448488	0.0004787903356610074	(-5.60543, -5.21881)	(-0.00142797, 0.000348623)
4ce0afbaae4138f34580aa9f62b7a0fd	-8.242824425000007	-0.0011496346105210027	0.1344517865819171	0.0005993169554877072	(-8.48968, -8.00466)	(-0.00226788, 1.46368e-06)
f655279fdb3e9fe733677c83df662486	-8.522767589999997	-0.0005767428358149999	0.08881739540310722	0.00040069238960561434	(-8.67645, -8.35735)	(-0.00130904, 0.00017838)
