Feature	Intercept_mean	fat_eaten_mean	Intercept_std	fat_eaten_std	Intercept_hdi	fat_eaten_hdi
9000b563231e32a7003bf2ef20bf9a60	-7.085673975000013	-0.0036542922327699972	0.2355886229155589	0.0024431879325466583	(-7.51762, -6.64681)	(-0.00818664, 0.000907315)
a186bb74dfce512f83043f7b366c60c4	-5.6623007999999935	-0.007229203555904989	0.667357685166403	0.006870795548201128	(-6.88392, -4.41981)	(-0.0203939, 0.00542301)
aad2c8fbb5e1201340fe4357731fc9ee	-8.079744565	0.0009879472524599992	0.4537499625357685	0.0047096317373951195	(-8.94931, -7.22038)	(-0.00803767, 0.0100653)
490d2aec117bd7289577684ba3cc1b64	-6.782759495000008	-0.000567258607850001	0.44212077377770337	0.00457008273694623	(-7.57689, -5.89917)	(-0.00955167, 0.00743648)
457d3865cf0a4bc602a07d8d5324388f	-8.150033180000007	-0.005200855129945015	0.39747346884639706	0.004103643794671551	(-8.90591, -7.44469)	(-0.0123689, 0.0029516)
552e00cb506f739acaf08aa5641f9d84	-6.818248474999997	0.0018117500321235013	0.3131935456935923	0.00322362265609287	(-7.45962, -6.27189)	(-0.00393717, 0.00797519)
9dc78fd8f2f7cb10e190e77af61c7ecd	-8.493679465	0.0036164729060650016	0.21981102686071924	0.0022606646925371243	(-8.88979, -8.09193)	(-0.000821707, 0.00761444)
a3607a88a8ed64e24a374847b23e404f	-5.721258094999991	-0.007726595612000004	0.22424283101477507	0.0023053211975482065	(-6.13522, -5.2842)	(-0.0122267, -0.00356201)
5bb151262388870fd53a84ea6f1ffdf2	-8.983808524999985	-0.004736053774149996	0.3895716904787541	0.004020488985798632	(-9.64451, -8.21011)	(-0.0119288, 0.00300338)
f7962a90f4519ec1d1a9c7b8ef7bf396	-9.01926336999999	-0.00039413489541999936	0.29464939247441757	0.003063065988557667	(-9.53677, -8.4789)	(-0.0057226, 0.0054987)
77ad88eed91eef009bf64f101c96baa6	-4.956842815000014	-0.002552642251789997	0.4390048678906941	0.004549784578669721	(-5.72947, -4.08442)	(-0.0115655, 0.00529093)
