	Feature	Intercept_mean	fat_eaten_mean	Intercept_std	fat_eaten_std	Intercept_hdi	fat_eaten_hdi	lower	upper	credible	Taxon
0	514b34f09e4acd2397d38273c630d338	-5.852095794999993	-0.0295714158499999	0.5342239476871734	0.0055121373575695	(-6.89234, -4.9235)	(-0.0391818, -0.0187756)	0.009610384150000102	0.0107958158499999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__Limiplasma; s__Limiplasma merdipullorum
1	c5e3c5422835403541b0af331a2cc649	-6.08969321999999	-0.0271336449999999	0.5060624562930259	0.0052716303087541	(-7.12906, -5.20179)	(-0.0364518, -0.0166491)	0.009318155000000099	0.0104845449999999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Acutalibacter; s__
2	3f38509af22157cdcb4006457529d25e	-7.148896429999998	-0.0186890518349999	0.4261667186960463	0.0044441309433257	(-7.91589, -6.37103)	(-0.0271097, -0.0110613)	0.0084206481650001	0.007627751834999901	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__; s__
3	f10155af1849a17996f302d71b32398c	-6.68882762	-0.0164729466949999	0.4021022199204275	0.004102913814726	(-7.4268, -5.89916)	(-0.0247241, -0.00919192)	0.008251153305000099	0.007281026694999901	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Suilimivivens; s__Suilimivivens aceti
4	04195686f2b70585790ec75320de0d6f	-4.41643864	-0.0157506591294999	0.4329460591976216	0.0045204698442638	(-5.20164, -3.54662)	(-0.0242775, -0.00704011)	0.0085268408705001	0.008710549129499902	yes	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_725029; g__Escherichia; s__Escherichia fergusonii
5	3017f87a3b0f5200ed54eca17eef3cbb	-7.420123369999997	-0.0138984064999999	0.3394887691992816	0.0034943548605053	(-8.13193, -6.84007)	(-0.0205846, -0.0073035)	0.006686193500000102	0.006594906499999899	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Anaerovoracaceae; g__; s__
6	a29679284280410db95e5cb8c0b2d73d	-7.666614499999993	-0.0129796959949999	0.3486179737053869	0.0036165802580332	(-8.28182, -7.03697)	(-0.0200258, -0.00647286)	0.0070461040050001	0.006506835994999899	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes_A_871400; s__Alistipes_A_871400 finegoldii
7	74923f4bbde849e27fc4eda25d757e2a	-7.292986375000007	-0.0125022761349999	0.3094441226139371	0.0031236919795446	(-7.87542, -6.70581)	(-0.0181128, -0.00633324)	0.0056105238650000985	0.006169036134999899	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Clostridium_AQ; s__Clostridium_AQ innocuum
8	c4e57b91cc2be5a2232b3612abdf4c0c	-6.925736985000006	-0.0124755244022999	0.5300577322930582	0.0054659046508304	(-7.84632, -5.9193)	(-0.0232791, -0.00313055)	0.0108035755977001	0.0093449744022999	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Merdibacter; s__Merdibacter massiliensis
9	fea3411c847e6627afb5e78b88e2e9af	-4.481773604999997	-0.012461992128	0.3211444399746848	0.0033323446928713	(-5.0498, -3.85753)	(-0.0185487, -0.00624362)	0.006086707872000002	0.006218372127999999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter_A_155507; s__Mediterraneibacter_A_155507 torques
10	4c855814a58f4f324e8f0cfaab222e1f	-7.678738885000005	-0.0121532728881499	0.5162162846451152	0.0053065894440788	(-8.61647, -6.67229)	(-0.0223647, -0.00255028)	0.0102114271118501	0.0096029928881499	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Negativibacillus; s__Negativibacillus massiliensis
11	0cc2420a6a4698f8bf664d50b17d26b4	-5.088364665000004	-0.0119450344099999	0.2761430269640858	0.0028408414078717	(-5.56643, -4.55878)	(-0.0168431, -0.00638486)	0.004898065590000099	0.0055601744099999005	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes_A_871400; s__Alistipes_A_871400 finegoldii
12	e82ab12c51a893c6d7938a16632199a8	-6.472901995000003	-0.0116283676705999	0.4154948905899692	0.0042834470134537	(-7.3052, -5.76992)	(-0.0196122, -0.00374094)	0.007983832329400099	0.007887427670599901	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Acetatifactor; s__Acetatifactor acetigignens
13	29bb5fa7f45e47bbabab8cc1b1b3d18e	-7.74687792500001	-0.0113001624543999	0.4847091069465729	0.004974791234953	(-8.69977, -6.90997)	(-0.0205022, -0.00213056)	0.009202037545600101	0.0091696024543999	yes	d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella_A; s__Veillonella_A parvula
14	340a5698fe78713b785c3bcce89df73b	-7.491139899999996	-0.0110167323564	0.3225593823324473	0.0033590383855264	(-8.15493, -6.94716)	(-0.0176402, -0.0051045)	0.006623467643600002	0.0059122323564	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes_A_871404; s__Alistipes_A_871404 ihumii
16	3af2ddaf4af4b5ae4100439a9c3d4099	-7.986993044999997	-0.0103790066145	0.2988792744322998	0.0031057520506005	(-8.5386, -7.43531)	(-0.0160683, -0.0044883)	0.0056892933855000015	0.005890706614499999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Enterenecus; s__Enterenecus faecium
17	33852dc244bb69590e8e756a83bb2f4c	-8.596877575000004	-0.0099701155029999	0.3071920790371546	0.0032027704088669	(-9.19112, -8.0585)	(-0.0155766, -0.00361639)	0.005606484497000099	0.0063537255029999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Hydrogeniiclostridium; s__
18	9099a7f671b923c7b07c12508f17270a	-7.175909094999995	-0.00987973963	0.2668681420946137	0.0027612221540833	(-7.65999, -6.70253)	(-0.0148139, -0.00473552)	0.004934160369999999	0.00514421963	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Clostridium_A_51961; s__Clostridium_A_51961 leptum
19	21ce8465657612a85e2f89e74d285ce1	-9.22687669999998	-0.00983590109035	0.3619930611031238	0.0037974106984429	(-9.87617, -8.50176)	(-0.0172347, -0.0027945)	0.007398798909649999	0.007041401090349999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Christensenellaceae; g__; s__
22	1a5526b9f7147b6893f1a034a107cc65	-8.957068739999999	-0.0096935628987	0.3502105132880969	0.0036578928631029	(-9.62568, -8.35725)	(-0.0164319, -0.00298561)	0.0067383371013	0.0067079528986999995	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Anaeromassilibacillus; s__Anaeromassilibacillus sp001305115
23	f11bd4248a2f95e53507c5bbf8dda43a	-5.8933467900000025	-0.00963200233	0.2654982955534665	0.0027406352414691	(-6.38067, -5.36732)	(-0.0149435, -0.0045911)	0.00531149767	0.00504090233	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Faecousia; s__Faecousia sp000434635
24	d05c86b5bfc092d8677507fb1eae8d66	-4.789335095000001	-0.0094092260928499	0.408637790732564	0.0042665747767848	(-5.57359, -4.03522)	(-0.0168239, -0.000735287)	0.0074146739071501	0.0086739390928499	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Ruminiclostridium_E; s__Ruminiclostridium_E siraeum
26	4311a44a7d56ce4086afad3e75bedd6e	-7.30705733499999	-0.008920729759	0.2645813262816326	0.0027250361291867	(-7.77295, -6.77358)	(-0.0139922, -0.00382622)	0.005071470240999999	0.0050945097590000005	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Ruthenibacterium; s__Ruthenibacterium lactatiformans
27	c764eda12e92f19526c7e5a78a38c615	-9.053070154999988	-0.0088550501863	0.3670999754887295	0.0038190577684716	(-9.72123, -8.34974)	(-0.016195, -0.00193995)	0.007339949813700002	0.006915100186299999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__UBA5905; s__UBA5905 sp002437905
28	5e69d50b5a886d1b222f36de84a9dc98	-8.396343125000012	-0.0087996358180999	0.4248560244408508	0.0043723401892344	(-9.14434, -7.53331)	(-0.0174115, -0.000809908)	0.0086118641819001	0.0079897278180999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia_A_166204; s__Roseburia_A_166204 intestinalis
29	b6d740387526e21887b761f90fbc914a	-7.632066039999994	-0.0087883034778999	0.3870445286204398	0.003958551279994	(-8.34325, -6.88839)	(-0.0155944, -0.000703766)	0.0068060965221001	0.0080845374778999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter_A_155507; s__Mediterraneibacter_A_155507 torques
