Feature	Intercept_mean	iron_eaten_mean	Intercept_std	iron_eaten_std	Intercept_hdi	iron_eaten_hdi
7e9ed2c841e64976eace4b578ff56a26	-4.9665914900000026	0.5969914341050006	0.11227442530505298	4.985897990601736	(-5.19044, -4.77821)	(-8.37335, 10.2358)
a6099802840e60febef8e896967b7747	-6.907449295000007	-3.387370284986999	0.05088159484875618	4.640861674177303	(-7.00267, -6.81226)	(-11.5464, 5.77353)
904ad13c7b8512200836d5cd9fb09e1b	-8.923759315000018	-0.7879194772119991	0.09276739659050898	5.04048329178486	(-9.10135, -8.75847)	(-10.6926, 8.42369)
1aab913302590e21a7be28b1494a3320	-9.091846109999999	-2.4023370412350027	0.06312593603399395	4.682865647142667	(-9.21328, -8.97721)	(-11.3144, 6.59587)
e644522cf6d7222c9da7f9ecf614cd89	-8.74449156499999	-1.757479791792	0.0898977113768798	4.899925854429294	(-8.90243, -8.57474)	(-11.6078, 6.71702)
bad4f7c5ada34a1f813946abcfe5c556	-4.745100785000005	5.918472682950008	0.04492781148502313	3.7043158101338887	(-4.82382, -4.65816)	(-1.3888, 12.6043)
399bcf0feb12a20ca0731d8d65268dae	-6.269824114999999	-2.84057523436	0.07533773521826082	4.83921596315774	(-6.41484, -6.14018)	(-11.8083, 6.04224)
32f7e6bfc42fe19c17f9459bd9be4b67	-7.172252945000001	-0.5803930256934015	0.07759601184195591	4.9825765773020745	(-7.31959, -7.03513)	(-9.36685, 9.03126)
c942f59feffce9c3ab527135de234101	-5.226475165000013	-0.16297925187500054	0.05775216657557339	4.1666189508800215	(-5.33801, -5.12058)	(-7.46868, 8.16012)
29bb5fa7f45e47bbabab8cc1b1b3d18e	-8.817560029999997	2.7198268616799974	0.10373244755716068	3.6526986872824785	(-9.0076, -8.62145)	(-3.98265, 9.23008)
7b2ff5940de11da4dc3bb208805dff11	-8.368928944999984	-3.4849829953600024	0.061288748571307665	4.641885607016819	(-8.47995, -8.24676)	(-11.9038, 5.32469)
6c7fa77831ae630967a6fbfc8ee47901	-3.4755587549999984	2.2807589521205003	0.03507032452801052	2.920895541189468	(-3.53958, -3.41014)	(-3.06077, 8.02428)
6c83fec6e8d03fad51eabc871853c991	-8.437633815000003	6.347241738012992	0.09401692676957578	3.4992402735479393	(-8.59546, -8.2485)	(-0.19101, 12.7609)
23597fea41001255f06321d42aefd3bd	-8.405103795000011	-0.026484083281999974	0.06716971436330493	4.677625252803308	(-8.53211, -8.28181)	(-9.18504, 8.79487)
ee02d6d3506da57909d5e603709a295f	-6.780311849999993	1.7392628701949986	0.05169240967760647	3.9713374343235954	(-6.88459, -6.68837)	(-5.23038, 9.63186)
e6a34eb113dba66df0b8bbec907a8f5d	-5.47504474000001	-3.566764155099999	0.05952415491069489	4.825122963673407	(-5.58506, -5.36463)	(-12.5259, 5.55303)
6c4de756c45fa6e7e5adfe196f9f0039	-5.450841935000004	0.16078212324500013	0.11216050904978005	4.9891762822976515	(-5.67495, -5.25332)	(-9.33555, 9.20478)
60c57911662a9159dfdd0fc05d975a55	-4.249985585000004	-1.354068030896001	0.05420547615101059	4.775529427391039	(-4.34873, -4.14765)	(-10.0165, 7.99969)
1986030e3c5cd5df6d869054bc96e536	-7.843745664999991	7.12376017369999	0.07733824959460718	3.5168245616532094	(-7.99128, -7.70506)	(0.923757, 13.7208)
ea3433f2c148c6fae4cc2e9ae197f5b8	-5.247289849999998	2.912638010536498	0.06221504956983881	3.9218277368308376	(-5.36855, -5.1355)	(-4.24703, 10.4124)
059c8f8bb468064b134ea6d3661761ea	-4.931581544999995	3.0221333687050023	0.06090947220476446	3.6254263497936194	(-5.03537, -4.80977)	(-3.3565, 10.1064)
8a9f7499cdb85b8efa497bb56256cb43	-6.458714270000004	5.388485538070002	0.04654438594682604	3.7764729182403456	(-6.55309, -6.38183)	(-2.40949, 12.186)
