	Feature	Intercept_mean	daily_HEI_mean	Intercept_std	daily_HEI_std	Intercept_hdi	daily_HEI_hdi	lower	upper	credible	Taxon
19	4c855814a58f4f324e8f0cfaab222e1f	-7.166852150000003	-0.028999110673555	0.8027800299824833	0.0139044726704708	(-8.6859, -5.78065)	(-0.0529297, -0.00240801)	0.023930589326445	0.026591100673555003	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Negativibacillus; s__Negativibacillus massiliensis
20	ccee9fc92f4182805278384a02a4d7d3	-8.103606920000006	-0.0286684942024999	0.534232591373658	0.0093363185604293	(-9.16337, -7.13381)	(-0.0455413, -0.0101892)	0.0168728057975001	0.0184792942024999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Dysosmobacter; s__Dysosmobacter welbionis
21	b1f2146bef78066448576fceeb6b644b	-3.0357503449999994	-0.0283657045849999	0.3645159675715608	0.0062863992798024	(-3.69677, -2.35433)	(-0.0396005, -0.0165397)	0.011234795415000096	0.0118260045849999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter_A_155507; s__Mediterraneibacter_A_155507 faecis
22	bfb7bb16ab570748b3a5d099e9426af1	-6.786535885000011	-0.0281097605	0.3887248854420269	0.0067783231034655	(-7.57358, -6.07887)	(-0.0418466, -0.0160532)	0.013736839499999997	0.0120565605	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Merdimmobilis; s__
24	2a13ecb6c618ddf8154298c69336dd8e	-6.974715394999998	-0.027653961534	0.8039853195006388	0.0139962503887431	(-8.51983, -5.44613)	(-0.054625, -0.000498617)	0.026971038466	0.027155344534000002	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Coprobacillaceae; g__Thomasclavelia; s__Thomasclavelia spiroformis
25	d9b76ee51ff2b6961430bf352cc578f2	-7.926749029999998	-0.0275561828004999	0.6129646865187733	0.0107191576564663	(-9.12446, -6.82677)	(-0.0482767, -0.00796122)	0.020720517199500098	0.019594962800499903	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus infantis
26	64d05989cb6f8053633b2127793200b3	-5.948409055000005	-0.0262731616999999	0.3974144407346777	0.0068950415725691	(-6.67133, -5.22717)	(-0.0392843, -0.0141568)	0.0130111383000001	0.012116361699999901	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter_A_155507; s__Mediterraneibacter_A_155507 faecis
27	8720f9ecd2331ce68e2896df1bf2d977	-2.2063318994999976	-0.0258146312894999	0.4281632180760584	0.0074160443252062	(-2.98793, -1.39981)	(-0.0392395, -0.0114122)	0.013424868710500096	0.0144024312894999	yes	d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__Collinsella aerofaciens_F
28	e3ab3e4772986724760dbd52b7af55f7	-6.712087029999998	-0.0257852151775	0.5199773237142938	0.0090268533819711	(-7.73085, -5.78566)	(-0.0411063, -0.00713579)	0.015321084822499997	0.0186494251775	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Oliverpabstia; s__Oliverpabstia tarda
29	39bb3fb5b2257fd2eacca408dc42c5d1	-3.961239630000005	-0.0250333883258499	0.5345730153958984	0.0092580913153095	(-4.96965, -2.98982)	(-0.0417126, -0.00709251)	0.016679211674150103	0.0179408783258499	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Oliverpabstia; s__Oliverpabstia tarda
