Feature	Intercept_mean	daily_HEI_mean	Intercept_std	daily_HEI_std	Intercept_hdi	daily_HEI_hdi
7c82a2ef7685c5c6dc3080f56033cee9	-11.777748734999998	0.049077929675000055	0.8288334253905592	0.01433476890015751	(-13.3225, -10.1675)	(0.0231396, 0.0778047)
b835514e2678e3c7ba13bfe0a0d79bb4	-10.413401280000002	0.032216471388549967	0.722816715317349	0.012475875111612567	(-11.7025, -8.96435)	(0.007553, 0.0550128)
c162a4f3943238810eba8a25f0563cca	-4.557362004999995	-0.012608575663650002	0.35765091349419187	0.006206753109368532	(-5.24358, -3.86902)	(-0.0237563, 0.000220159)
5b00db3216a94bcd5c4842499bf6bf6e	-9.081187400000003	0.01949065238655002	0.4289599518527809	0.0074697568406852455	(-9.94823, -8.26328)	(0.00525367, 0.0347986)
beef5a54aaee13f217ecede427cb3071	-9.511712305000012	0.032728827795049945	0.8318782879543367	0.01437981749975126	(-10.9826, -7.92499)	(0.00407942, 0.057065)
f7686a74ca2d3729eb66305e8a26309b	-3.331692094999998	-0.0070114433756100145	0.22716965568504285	0.003965090973810676	(-3.73861, -2.89105)	(-0.014856, 0.000172065)
5ca5ea401c8d3569e69626d2f81d5578	-5.890801725000002	-0.0015520220231135	0.9429462380834209	0.016379976281973067	(-7.76237, -4.141)	(-0.033223, 0.0303075)
b6d740387526e21887b761f90fbc914a	-4.817792594999994	-0.06479094884999995	0.7251404492733228	0.01267365608548018	(-6.15625, -3.46001)	(-0.088074, -0.0410138)
5e69d50b5a886d1b222f36de84a9dc98	-8.24870531	-0.017087965225600018	0.7005970286233043	0.012100783734658924	(-9.55246, -7.00401)	(-0.0387986, 0.00587658)
208c8722c4dd18b60b2b2684272ff26c	-10.996474280000003	0.044626827460000074	0.8085002829721094	0.013930681522146288	(-12.597, -9.60047)	(0.0207965, 0.072471)
95fb1be2ae50b6d347649ea76c2a1874	-11.265493345000001	0.03860256797500006	0.5981840389162527	0.010303746143036146	(-12.39, -10.1395)	(0.0206917, 0.0593436)
ea2b0e4a93c24c6c3661cbe347f93b74	-4.545724209999995	0.002945627811859996	0.3126861146357093	0.005411848311519974	(-5.12747, -3.95453)	(-0.00792343, 0.0126929)
04b5dd98584b9ead93ed64c586994296	-7.984446065000006	0.004242524470184999	0.48328400408482974	0.008427503947185302	(-8.93594, -7.14745)	(-0.0112856, 0.0200543)
ec6c9ea52e88226c339487585ea02f42	-7.30570529500001	0.031188200155499952	0.533097067441956	0.009225304012050543	(-8.33902, -6.40074)	(0.0146556, 0.048522)
4ce0afbaae4138f34580aa9f62b7a0fd	-9.811229105000004	0.023818346441265015	0.7017956204845177	0.012203340323809108	(-11.1507, -8.53973)	(0.00126889, 0.046716)
f655279fdb3e9fe733677c83df662486	-11.020938430000017	0.04126154224999991	0.4743999507824959	0.00816221611408138	(-11.8971, -10.1466)	(0.0261017, 0.056138)
