Feature	Intercept_mean	fatty_acids_monounsaturated_eaten_mean	Intercept_std	fatty_acids_monounsaturated_eaten_std	Intercept_hdi	fatty_acids_monounsaturated_eaten_hdi
c764eda12e92f19526c7e5a78a38c615	-9.50949292999999	-0.016636176534650004	0.2136812012546146	0.009175775870835666	(-9.87405, -9.11296)	(-0.0331779, -0.00020926)
6fc765c81c8b663cedcd799094894748	-8.767540385000007	0.0022229792157500016	0.14921564657870762	0.005395578112054756	(-9.05249, -8.50142)	(-0.00660753, 0.0133233)
1a389bf765c8ff0f92600f684fbe7ad7	-5.894892430000001	0.0009714665314400008	0.10564989695118072	0.003597601262797585	(-6.08858, -5.70288)	(-0.00513493, 0.00761931)
b0645cbec7653c887cb868a248d95874	-3.79620096000001	0.00010818949692500011	0.06448577469704773	0.002229665128642508	(-3.92651, -3.68569)	(-0.00378587, 0.00439233)
d6c46ad81c01997055a3b713c0d5ee1b	-6.500519040000003	0.004276674130354996	0.1732991670224596	0.0064544224011688035	(-6.80963, -6.19153)	(-0.00607911, 0.016252)
fe2a1f2b6f247658881254d63fd68b74	-5.980169989999993	-0.0015721764094299999	0.16850056318303472	0.006045083991264201	(-6.29971, -5.67539)	(-0.0121641, 0.00955177)
89aabf43d24dd5bd0fd0f5aca189d341	-5.300517640000005	0.0009682385174929978	0.03258505049605418	0.0010085570542369526	(-5.35932, -5.23694)	(-0.000770597, 0.00295448)
2ae8a432208b85a14e86eb821c86ce2b	-4.3116904600000066	0.00038587859702499973	0.07034636589397068	0.0025427820034911184	(-4.45212, -4.19268)	(-0.00402006, 0.00511948)
f596fa835cdfdb22d6494b012f61fff2	-5.687641630000001	0.0007092263067599998	0.07975621113771084	0.0029122441891407287	(-5.84219, -5.54766)	(-0.00444732, 0.00632005)
f7895578be91c3e9c71c7b89e3e798db	-8.444876765000009	-0.01989866123330001	0.2988668464240969	0.012496177221379155	(-8.97268, -7.86802)	(-0.0411954, 0.00564751)
8b40296c81e6ffbc10306d4a2ccab530	-9.449402375000005	0.001338756662091001	0.07842742454020381	0.002474617144998257	(-9.60269, -9.3056)	(-0.00350091, 0.0059085)
40a6b537d995aeb12b0100e2cb6ad879	-7.107897285000005	-0.00011650807794149996	0.0889125690095544	0.0027917606113846173	(-7.28034, -6.9542)	(-0.00516135, 0.00511084)
9ac5fec396208e598ab2e2d26985d0df	-8.094641579999998	-0.0016585643914494995	0.06003934210918376	0.0019930898722763193	(-8.21707, -7.9901)	(-0.00544331, 0.00207066)
19cb3add28813b2bf3e1f40a000d33c2	-4.479975164999997	0.0029019079004115014	0.09529429834083877	0.0032597197278049794	(-4.65751, -4.3054)	(-0.00222027, 0.00911065)
686d42b9552375c3b61301ae5605e3a2	-6.658287084999998	0.007203416681350012	0.18030911163902064	0.00651931603218926	(-6.99233, -6.32366)	(-0.00398544, 0.0187136)
