Feature	Intercept_mean	fatty_acids_polyunsaturated_eaten_mean	Intercept_std	fatty_acids_polyunsaturated_eaten_std	Intercept_hdi	fatty_acids_polyunsaturated_eaten_hdi
2d575dfaf20c70d49b09be32a1492254	-8.91114857	0.008793480588500017	0.09997470481654407	0.009137772094100764	(-9.09011, -8.7249)	(-0.0077096, 0.0253939)
b955f67a541a149dd3b179dc62d37a72	-7.883609290000015	0.003530971303499994	0.1207098185215101	0.010555185535157004	(-8.11898, -7.67524)	(-0.0147004, 0.0246409)
ad7bc2bb6e1ec90a9bc3c8949bce80d6	-6.192300984999995	-0.00874399726524999	0.27349397171945067	0.024254772070443378	(-6.6998, -5.69272)	(-0.0517605, 0.0336612)
8f1c11c7b732265cbfc1bb7dbd0241e7	-5.714335624999992	0.0031356558949618	0.09132599099111588	0.00804712685155414	(-5.9035, -5.56329)	(-0.0116644, 0.0187135)
1fd31ccf4d6163405f70131e32d5065a	-7.223107459999993	0.026858851502199996	0.2366621979263871	0.022278634325837775	(-7.66943, -6.79037)	(-0.0152762, 0.0661156)
5093ad88995f6fe457c7fe96bb0ed33b	-6.097405595000005	0.008758657993449987	0.12429596070164957	0.011191103696047719	(-6.32884, -5.87507)	(-0.0105304, 0.0301562)
f9b52205cb2d03153fd394a290212a10	-5.364845809999996	0.013118674228779971	0.20292226366898214	0.01876721176164432	(-5.74422, -4.98616)	(-0.0219266, 0.048029)
9d4e16844252e2dfbaf80a4a6fc4d55d	-9.156221570000005	-0.03528894776909996	0.18121361205945619	0.0170341387577462	(-9.49477, -8.8274)	(-0.0684264, -0.0055434)
148c7eb0139bbc1b8c87dd31464742e4	-5.642486939999996	-0.002380784613589999	0.09336648746063224	0.008343643693980418	(-5.82213, -5.47537)	(-0.0175524, 0.0135149)
eea6b86c0c75e740670ccc50613b1b23	-3.361931444999999	0.0008191695986550006	0.04268049185941951	0.00369358956315408	(-3.43672, -3.27838)	(-0.00595283, 0.00777332)
3fe55dd5e59267f275e972017302459f	-6.447670079999991	0.02004983041915001	0.31086592096480065	0.029111784774495386	(-7.02901, -5.88452)	(-0.0293549, 0.0746727)
f11bd4248a2f95e53507c5bbf8dda43a	-6.678622404999994	-0.010827748322699995	0.09969018235095162	0.008226047646511794	(-6.87564, -6.51117)	(-0.0257883, 0.0036628)
09a55cd0bdf9fa4929eab3f0ed841bf5	-9.123909179999991	0.015847992865795003	0.13252794708372873	0.011871378985188509	(-9.37172, -8.88432)	(-0.00441928, 0.0395038)
bfb7bb16ab570748b3a5d099e9426af1	-8.337619604999993	-0.004070558542300001	0.08369730197619278	0.007039964239047925	(-8.49819, -8.18541)	(-0.0161664, 0.00992636)
ad52a0f6646c574417ce0b13b84acfa9	-3.5320941950000018	-0.007558470256375	0.1240529946903823	0.010735758416458088	(-3.76316, -3.29587)	(-0.0253505, 0.0151308)
180b74e94caf35fac5e1f0f4b7ad9d9f	-6.333503924999996	-0.005991954365439997	0.059608787047249805	0.005179044991295089	(-6.44165, -6.21834)	(-0.0159634, 0.0033276)
810926a593979f3574e3bbe7defd3559	-9.668084219999999	0.024322588701399972	0.21236925801982656	0.019434259976662004	(-10.0581, -9.27585)	(-0.0093932, 0.0606725)
5d62137a2d05df0be8d6b7e163a3ef08	-5.209133654999991	0.004879892603799993	0.2069086507884361	0.018375077250665596	(-5.58337, -4.82709)	(-0.0275374, 0.037826)
f9765bd9332162f70268554ab318197e	-7.024089519999998	0.00921333197235001	0.18845705792824438	0.017524464238097306	(-7.39844, -6.70605)	(-0.0223362, 0.0428494)
bc5b6cc17572b4fd6ebd80081410427e	-9.925482745000004	0.00938823274905	0.11154913413745068	0.009630744410999814	(-10.1275, -9.71599)	(-0.00875633, 0.0261388)
a29679284280410db95e5cb8c0b2d73d	-8.395395214999995	-0.05010958114750007	0.20167287397702685	0.01907909480495181	(-8.75058, -7.99473)	(-0.0855264, -0.0126476)
1c86153e1b13ab5322c96f2602b73513	-5.361652304999994	-0.010491658157315011	0.1706749281433478	0.014122598862763765	(-5.68071, -5.04752)	(-0.0342874, 0.015804)
fec0355651c9ad579f01f3e332311725	-6.872749750000001	-0.021469618411150013	0.10723867097058551	0.009642593692248964	(-7.07117, -6.67239)	(-0.0388395, -0.00309447)
f10155af1849a17996f302d71b32398c	-8.355614779999987	0.017892490562254955	0.14434132196412638	0.011602996449743535	(-8.61088, -8.08196)	(-0.000439017, 0.0421639)
0cc26190e976fc496119a5eb4cd0fee7	-9.807700734999981	-0.022789780708000012	0.15578104289485833	0.014574760658058076	(-10.0923, -9.51621)	(-0.0489044, 0.0054587)
9c25197937d1f54e2634026fbca6b55f	-7.628087365000005	0.05618345371699998	0.28943373494291685	0.026547186743667815	(-8.16629, -7.08542)	(0.00889967, 0.107005)
40ced57decad1424c32de76ae039c050	-9.606390375000013	0.012097075015300005	0.1381781916559533	0.012526694940662896	(-9.8629, -9.35195)	(-0.0120471, 0.0344684)
2ad31c7624bd7744a56a5ccac67ed01a	-8.576612969999976	-0.0074637193330049974	0.13442509552824983	0.01246420372415914	(-8.83792, -8.33983)	(-0.0317475, 0.0151052)
41df3b4c55182503ecd97c6dbe47966a	-6.819974975000001	0.011828192786549991	0.10349233098640381	0.009478110607853099	(-7.02489, -6.64441)	(-0.00519443, 0.0295931)
fea3411c847e6627afb5e78b88e2e9af	-5.206074169999998	-0.04697121941499994	0.12643108250826268	0.010601149985037028	(-5.41653, -4.95273)	(-0.0675272, -0.028047)
8bb5ff097e0707dca3fe5860af20f4a6	-6.881904760000001	0.015911532129149978	0.1115789855543705	0.010301958512277092	(-7.0708, -6.65225)	(-0.00311409, 0.0352945)
bda6b6e7da7508c68057140e7bd6cd8d	-6.312216659999993	0.009068696033534997	0.12160072490180472	0.010797136220230926	(-6.53827, -6.08799)	(-0.00954717, 0.0293702)
1a5526b9f7147b6893f1a034a107cc65	-9.60007871000002	-0.027316109948299982	0.16591652997497255	0.015542772421732303	(-9.89037, -9.28806)	(-0.0553071, 0.00229656)
97f26830027d30dfbd60b54895af0660	-9.383147839999989	0.031243643574999976	0.164040963162359	0.014746738098037516	(-9.7007, -9.09339)	(0.00634044, 0.0603595)
d061a99148d649c4eca4836c5f4b5b68	-4.625395964999998	-0.006553053176241002	0.06679975794094449	0.0058414058704767315	(-4.76394, -4.51173)	(-0.0174, 0.00445716)
f9f5f08e8da4cc9740518223846563db	-8.559635124999978	0.00916424123284001	0.21952926033284126	0.02048663597279271	(-8.95268, -8.15202)	(-0.0286274, 0.0470984)
40c85a458df8d5a935122ba778d4f334	-5.343730565000003	-0.009936143637050022	0.17081183756470397	0.01444725570075233	(-5.64386, -5.00824)	(-0.0350196, 0.0178387)
7ebc04cb539befd9f2e7faa131628c66	-8.263471875000002	-0.005484210888548995	0.1264737540659499	0.011444166237191352	(-8.508, -8.03424)	(-0.0264173, 0.0161382)
f7ef98bb6d0061b9368a72b1ff40aad0	-8.608650630000009	-0.02880673714724995	0.17116847386275064	0.015020390413756381	(-8.93192, -8.30434)	(-0.0569775, -0.000569925)
362b97b08074732371b6e76cd1a894e1	-7.5404091299999925	0.044822365201899916	0.36735791657325595	0.034832603226281504	(-8.2096, -6.87012)	(-0.0165081, 0.10978)
2fad39e365933a7f925040cb3c2a5ef8	-6.280678574999998	0.01768845732310003	0.20428725989894583	0.01885154511347103	(-6.66271, -5.93749)	(-0.0137956, 0.051695)
4c855814a58f4f324e8f0cfaab222e1f	-8.449692929999989	-0.03843979018899999	0.19713621090534084	0.017715622258474752	(-8.78557, -8.04359)	(-0.0731247, -0.00618801)
2f61368750bbc7603f01c928568e7ad3	-7.131747635000006	0.016247180349049973	0.09371168127910615	0.008602594227164495	(-7.29416, -6.95054)	(-2.06868e-05, 0.0318506)
599ba6458e91e2527f358f547ea39261	-4.158684865000004	-0.007263169185155004	0.054173847904517326	0.004668192491080941	(-4.26231, -4.06244)	(-0.0156759, 0.00180375)
4b548f1f6fc22f32237396b7d4ffee6e	-7.464884400000009	-0.017600386422000035	0.07254914069125834	0.006486378420751775	(-7.60254, -7.33585)	(-0.0290301, -0.00436368)
eb3543a838a705addef1d704eda7cad3	-7.907262600000004	-0.012862728806999998	0.19342567702489766	0.016716670842431124	(-8.30054, -7.58209)	(-0.0398385, 0.0206458)
2281740c4ae82360612b5bc7e9538337	-6.365680385000001	-0.010438159993790011	0.14605488868847144	0.01280840581312944	(-6.64146, -6.10459)	(-0.0349275, 0.0119533)
96936173022b85940115c9ea103505bd	-8.304541665000002	0.01709236685715001	0.13683056508791358	0.012492430629889991	(-8.56943, -8.05804)	(-0.00567162, 0.0399455)
f45b62ab6ec22fb20364a7e05088158f	-7.724502599999997	0.04627824647499999	0.21114059889405423	0.019643291353294158	(-8.13262, -7.3479)	(0.00979173, 0.0827562)
c16907f7272c334959e9f980842194cf	-7.903186090000004	-0.019693790523129986	0.24309913082899293	0.02213564377496169	(-8.35631, -7.43669)	(-0.0617206, 0.021734)
266c2a374ca451985731e1e1b5961bd2	-8.975942499999999	0.058024066126500004	0.19045666357770213	0.017841306567227263	(-9.33565, -8.64177)	(0.0248249, 0.0905285)
2ad8a4ebf774763b765f4ab5b516ff21	-9.119951009999996	-0.027595228984444938	0.21287386444930212	0.0205711614897856	(-9.56812, -8.75919)	(-0.0614247, 0.0167239)
f12011ad5219b22b6ca790103333a755	-9.057703139999994	-0.010808624021050019	0.10937584289613671	0.009941304519178417	(-9.25435, -8.84604)	(-0.0290505, 0.00884879)
b9fefd4224e459a6a0d21db63b1c0d03	-8.913479074999993	-0.002049813798800003	0.1630025697677629	0.014165349235075769	(-9.22013, -8.61619)	(-0.0301572, 0.0226741)
0cc2420a6a4698f8bf664d50b17d26b4	-5.911496859999996	-0.029871225776999955	0.10522651590279135	0.00889565992802484	(-6.10865, -5.7131)	(-0.0453627, -0.0122835)
