Feature	Intercept_mean	beta_carotene_eaten_mean	Intercept_std	beta_carotene_eaten_std	Intercept_hdi	beta_carotene_eaten_hdi
7e9ed2c841e64976eace4b578ff56a26	-4.962357254999998	0.5449386072500004	0.1073039415157477	4.898432670028394	(-5.17533, -4.77513)	(-8.63468, 9.73582)
a6099802840e60febef8e896967b7747	-6.934463209999999	-0.554783853715	0.03781117625512197	4.822724614234159	(-7.00843, -6.86262)	(-9.50139, 8.1822)
904ad13c7b8512200836d5cd9fb09e1b	-8.930940610000002	0.00734903515499995	0.08458356442434845	5.102116437931103	(-9.08933, -8.77461)	(-8.51243, 10.6879)
1aab913302590e21a7be28b1494a3320	-9.107428424999991	-1.2912637806749985	0.05206316280701134	5.1183288227488495	(-9.2078, -9.01886)	(-10.2177, 8.56754)
e644522cf6d7222c9da7f9ecf614cd89	-8.758103469999979	-0.27494737907999983	0.08017761898285017	4.94624615902844	(-8.91168, -8.6151)	(-9.29016, 9.14449)
bad4f7c5ada34a1f813946abcfe5c556	-4.711637609999999	5.0982956407249995	0.036531076503271843	4.838081555058343	(-4.77714, -4.6432)	(-4.19962, 14.1767)
399bcf0feb12a20ca0731d8d65268dae	-6.287838315000013	-0.7927699272400002	0.07073572157835648	5.050523677992233	(-6.41979, -6.15832)	(-9.82706, 8.88735)
32f7e6bfc42fe19c17f9459bd9be4b67	-7.1750456799999895	-0.6504083163699991	0.07297988759814304	5.031882928770435	(-7.31265, -7.04269)	(-10.4206, 8.71904)
c942f59feffce9c3ab527135de234101	-5.220736560000004	-2.754548727624999	0.04972184511828172	4.901123950521752	(-5.31597, -5.1321)	(-11.0458, 7.34487)
29bb5fa7f45e47bbabab8cc1b1b3d18e	-8.793166469999983	-0.4149894192580413	0.10162264313202596	5.131927239801031	(-8.97861, -8.605)	(-10.1268, 9.31453)
7b2ff5940de11da4dc3bb208805dff11	-8.386340475000015	-2.9956859689050015	0.05056808103462476	4.996799185454158	(-8.47993, -8.28908)	(-12.4193, 6.10681)
6c7fa77831ae630967a6fbfc8ee47901	-3.456304534999993	-0.7870395164645018	0.029711681611510596	4.519750931250586	(-3.51506, -3.4033)	(-9.39003, 7.79663)
6c83fec6e8d03fad51eabc871853c991	-8.380002180000016	2.798290037870003	0.08832029770753484	4.8515531748566385	(-8.54143, -8.21142)	(-6.29805, 11.7753)
23597fea41001255f06321d42aefd3bd	-8.401909914999976	-0.03484965496500002	0.05940571113068823	4.851751050709193	(-8.51341, -8.29126)	(-8.62779, 9.22842)
ee02d6d3506da57909d5e603709a295f	-6.763961549999996	-0.46706062834000095	0.04004609350982314	4.721121160051408	(-6.83944, -6.69072)	(-8.215, 9.0722)
e6a34eb113dba66df0b8bbec907a8f5d	-5.4988284999999975	-2.3411315481350035	0.04711189678361512	4.933539767840711	(-5.5826, -5.40846)	(-11.4962, 6.96856)
6c4de756c45fa6e7e5adfe196f9f0039	-5.446871699999997	0.42193392170000005	0.10251760580997785	4.864714915822912	(-5.63352, -5.25653)	(-8.86354, 9.52587)
60c57911662a9159dfdd0fc05d975a55	-4.258722079999997	-1.1311576932549978	0.04083979344185763	5.018082628191288	(-4.33842, -4.18544)	(-10.3113, 8.59414)
1986030e3c5cd5df6d869054bc96e536	-7.787805464999997	4.398886512334002	0.07329247935623255	4.884531517759012	(-7.9164, -7.64131)	(-5.1166, 13.1013)
ea3433f2c148c6fae4cc2e9ae197f5b8	-5.2278957250000015	1.1729892113999987	0.053888910317192174	5.02959278111019	(-5.32841, -5.12912)	(-8.53376, 10.3143)
059c8f8bb468064b134ea6d3661761ea	-4.911831459999991	1.8154079342750018	0.05544182108813171	5.0205987928236695	(-5.01034, -4.80407)	(-7.15051, 11.5653)
8a9f7499cdb85b8efa497bb56256cb43	-6.4374464200000086	7.125795063639999	0.03602302754743968	4.834426973346786	(-6.50964, -6.37541)	(-2.3436, 15.9711)
8dccd839cf4868a3343e411c063932a6	-9.167488465000027	0.14150012277499996	0.07485761872377304	4.957515899376899	(-9.31673, -9.0338)	(-9.33366, 9.049)
f402919ff0fe53fec5b6ef190f9e42b7	-6.955181409999999	-0.8267645821549987	0.04596120542057073	4.820593748828043	(-7.03754, -6.87101)	(-10.4288, 7.72575)
f9382b37fc2cfd3cf606824a235802de	-9.76598958	0.9923485652949999	0.07066903112342485	4.909458337680877	(-9.90596, -9.6445)	(-7.4006, 11.0382)
1664c7d0b9dec6e07df8542c0c4049c7	-8.485439065000007	0.8098124318395018	0.05468657853235824	4.9058129608602465	(-8.58344, -8.37656)	(-8.54812, 10.101)
