	Feature	Intercept_mean	fast_food_fg_eaten_mean	Intercept_std	fast_food_fg_eaten_std	Intercept_hdi	fast_food_fg_eaten_hdi	lower	upper	credible	Taxon
0	b10627ff6db16c65eed2f21380dd700f	-5.507540685	-0.01091913812	0.1807980531111461	0.0022891230128251	(-5.828, -5.15187)	(-0.0151875, -0.00638888)	0.00426836188	0.004530258119999999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Limivicinus; s__Limivicinus sp002320035
1	266c2a374ca451985731e1e1b5961bd2	-7.869190634999991	-0.008954545565	0.110655624907398	0.0014328108276384	(-8.08543, -7.66451)	(-0.0115657, -0.00621021)	0.0026111544350000005	0.0027443355649999996	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_J; s__Eubacterium_J plexicaudatum
2	7dfa96abfa7484bb6c9cfa90dc9b606f	-5.278475450000002	-0.00857823831	0.0854383217397059	0.0010734602389857	(-5.44333, -5.12259)	(-0.0107561, -0.00664718)	0.0021778616899999995	0.0019310583099999999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_J; s__Eubacterium_J plexicaudatum
3	b835514e2678e3c7ba13bfe0a0d79bb4	-8.06534592499998	-0.0083160916614999	0.1513334208023609	0.0018875498079732	(-8.33598, -7.78336)	(-0.0117856, -0.0046792)	0.003469508338500101	0.0036368916614998997	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Coprobacillaceae; g__Thomasclavelia; s__Thomasclavelia saccharogumia
4	03fdbec0c9b63a05ae79f92c6d3a4cfc	-6.640530525000005	-0.00814431949	0.1777143663550427	0.0021455987817618	(-6.96577, -6.30844)	(-0.0120919, -0.00425118)	0.00394758051	0.0038931394899999992	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__COE1; s__
5	9c25197937d1f54e2634026fbca6b55f	-6.616755774999995	-0.0076027781719	0.2101734322030246	0.0025214782514756	(-6.98938, -6.20123)	(-0.0124044, -0.00308107)	0.0048016218281	0.0045217081719	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Jutongia; s__
6	b423592b0ae631882095792b27729b9c	-8.336009960000009	-0.0073898947735	0.1640427718553865	0.0019638984694029	(-8.61151, -8.00229)	(-0.0110742, -0.00379987)	0.003684305226499999	0.0035900247735000004	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Dysosmobacter; s__Dysosmobacter sp000403435
7	e82ab12c51a893c6d7938a16632199a8	-7.132533679999999	-0.0072801192144999	0.1592110795053458	0.0019004445133487	(-7.44807, -6.84014)	(-0.0107387, -0.00358132)	0.0034585807855001	0.0036987992144999005	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Acetatifactor; s__Acetatifactor acetigignens
8	f45b62ab6ec22fb20364a7e05088158f	-6.834710964999997	-0.0071425978049999	0.1339622047288667	0.0015463636116685	(-7.06911, -6.56858)	(-0.0100419, -0.00420243)	0.0028993021950000997	0.0029401678049998997	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Muricoprocola; s__Muricoprocola aceti
9	30c16856bd5bae4cd2f1182341b30ffc	-8.655199584999995	-0.00695498098495	0.1473397280158265	0.0018290724707206	(-8.9328, -8.39046)	(-0.0104339, -0.00371845)	0.003478919015049999	0.0032365309849500005	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia_A_166204; s__Roseburia_A_166204 hominis
