Feature	Intercept_mean	carb_eaten_mean	Intercept_std	carb_eaten_std	Intercept_hdi	carb_eaten_hdi
0021d135d4ac12982cc8abdf2b38e23f	-6.410375139999994	-0.001374576355689998	0.6369239412282915	0.0027752859286670553	(-7.50293, -5.15154)	(-0.00660227, 0.00373247)
e4c0082e2ab8c9772768fc29bb86caa3	-6.659644854999994	2.0934390638950044e-05	0.19259032164617973	0.0008278488688507183	(-7.04576, -6.32215)	(-0.0014926, 0.00160564)
46d8ab5615f60d7b522f3590976668be	-9.04720637	0.0003032895069400003	0.19989129248324722	0.00086427327458766	(-9.42916, -8.67795)	(-0.00131805, 0.00188376)
28bb502265419a0e86626d75a1183ce7	-8.557153565000005	0.0011474619187924991	0.43141096120710787	0.001858252045166695	(-9.35861, -7.73584)	(-0.0025163, 0.00445396)
ea3af29626a95b6c7b89d631bf1a739c	-5.0007993250000045	-0.001663127253857498	0.22668008793957695	0.0009831891627751406	(-5.38792, -4.54748)	(-0.00349072, 0.000205797)
94b000e59b7ac160b0416c9ab45ff0bf	-7.053254299999996	-0.0018170619851600003	0.4464163734773959	0.0019204028625286799	(-7.94138, -6.25502)	(-0.00527796, 0.00204674)
75878b49cacdd2ffdcea1186a43be92d	-8.055894220000006	5.7359106910000036e-05	0.21913056085948301	0.0009229801754626475	(-8.4822, -7.66265)	(-0.00170517, 0.00178297)
aea50462b44fe88301c739b72353e16f	-8.383972899999996	-0.0003454352301056494	0.22617384197004312	0.000977887029213884	(-8.79183, -7.92551)	(-0.00212657, 0.00155255)
2d575dfaf20c70d49b09be32a1492254	-8.822207245000007	-1.4754356634499974e-05	0.19604452457454644	0.0008443017841737046	(-9.16354, -8.45113)	(-0.00157849, 0.00152806)
b955f67a541a149dd3b179dc62d37a72	-7.573376485	-0.0012293085107549992	0.2801632153397281	0.00120806643499352	(-8.04742, -7.02887)	(-0.00359925, 0.000871514)
ad7bc2bb6e1ec90a9bc3c8949bce80d6	-5.425696195000005	-0.0038257882679700013	0.6377385353371482	0.0027434745704110666	(-6.48981, -4.12441)	(-0.00942516, 0.000863239)
8f1c11c7b732265cbfc1bb7dbd0241e7	-5.586525759999997	-0.0004260099110810003	0.2106394895923421	0.000911000016203992	(-6.00084, -5.21164)	(-0.00203479, 0.00140455)
1fd31ccf4d6163405f70131e32d5065a	-6.798407650000008	-0.0006768566140905004	0.3756456651522513	0.0015950592770930853	(-7.53074, -6.10841)	(-0.00375229, 0.00227293)
5093ad88995f6fe457c7fe96bb0ed33b	-6.58714685999999	0.002526933220999998	0.2708365887176996	0.0011752257855281042	(-7.0721, -6.07732)	(0.000375408, 0.00468469)
f9b52205cb2d03153fd394a290212a10	-4.607236135000003	-0.002852280852244993	0.3453315049661871	0.001489348370708961	(-5.28778, -3.95745)	(-0.00580735, -3.96101e-05)
9d4e16844252e2dfbaf80a4a6fc4d55d	-8.48461052000001	-0.004585380974950001	0.3388294208330049	0.0014699009415814763	(-9.16689, -7.89655)	(-0.00737661, -0.00179399)
148c7eb0139bbc1b8c87dd31464742e4	-6.209781065000011	0.002373575359969996	0.216999735159552	0.0009326877416559679	(-6.6085, -5.80308)	(0.000609924, 0.00404751)
