Feature	Intercept_mean	oils_fats_nuts_mean	Intercept_std	oils_fats_nuts_std	Intercept_hdi	oils_fats_nuts_hdi
ae171d16e3cb68ad19636a58839a1ef1	-8.934755795	-0.0002876530087944507	0.17714155504530255	0.0038313378792934807	(-9.27667, -8.61609)	(-0.00771024, 0.00657625)
77f4d90aa6eb8080927f59ee8bbac375	-9.44171186999999	0.006287773648900002	0.10042826017462961	0.0020918020568404874	(-9.62348, -9.25017)	(0.00254423, 0.0102645)
a7b427a226422d10e62536b8d41e02fe	-8.145076414999991	-0.00023248132030500063	0.21364359938223718	0.004523060231296756	(-8.52457, -7.72654)	(-0.00820986, 0.00826036)
2480f3aa1e7784b461d9b5b83a6bfc81	-7.903348374999991	-0.0005383214063250008	0.14091373982514746	0.002938378572642621	(-8.15613, -7.64115)	(-0.00609768, 0.00473358)
9000b563231e32a7003bf2ef20bf9a60	-7.50463160000001	0.0017985268845850018	0.11338810022149591	0.002386962208652752	(-7.71204, -7.30093)	(-0.00264156, 0.00627152)
a186bb74dfce512f83043f7b366c60c4	-6.179874875000004	-0.003815965723494992	0.2807965613594374	0.00597227787102874	(-6.64505, -5.61651)	(-0.0155256, 0.00649883)
aad2c8fbb5e1201340fe4357731fc9ee	-7.8593145250000065	-0.003149658721675002	0.1804939789839938	0.003876533446043482	(-8.18312, -7.5173)	(-0.00985252, 0.00443916)
490d2aec117bd7289577684ba3cc1b64	-6.954963480000006	0.0027597302527200005	0.19449025056565075	0.004152419838642058	(-7.33254, -6.60579)	(-0.00474807, 0.0110253)
457d3865cf0a4bc602a07d8d5324388f	-8.343954994999997	-0.007450292342159996	0.17775704024341757	0.0038327243826157095	(-8.71018, -8.02777)	(-0.0151587, -0.000726812)
552e00cb506f739acaf08aa5641f9d84	-6.925170969999995	0.006469943751349996	0.1393556840945468	0.002927703817073204	(-7.21684, -6.6862)	(0.00149364, 0.012538)
9dc78fd8f2f7cb10e190e77af61c7ecd	-8.310724474999997	0.0038115242913999993	0.08926278398260037	0.0018675881327629427	(-8.48239, -8.14542)	(0.00025967, 0.00734728)
a3607a88a8ed64e24a374847b23e404f	-6.360364340000004	-0.0019790864553050004	0.11532197155557306	0.0024078029295816626	(-6.57505, -6.1385)	(-0.00676432, 0.00219238)
5bb151262388870fd53a84ea6f1ffdf2	-9.500051939999997	0.0018841497278700014	0.18394476941445348	0.0038363295805574193	(-9.82498, -9.15813)	(-0.00575379, 0.00869396)
f7962a90f4519ec1d1a9c7b8ef7bf396	-8.962860699999991	-0.002364975006519999	0.14883521060357321	0.003078502129827612	(-9.25677, -8.68443)	(-0.00855268, 0.00345308)
08be83d0a527ddd1da0861135192e593	-8.659037160000006	0.003495203798889002	0.218943159493359	0.004615913594169853	(-9.04472, -8.2334)	(-0.00490951, 0.0119465)
b61862b15d33865612e76c1db7b995a1	-9.188529699999997	0.004826564536900005	0.10603365406940377	0.00220461602614084	(-9.38966, -8.99895)	(0.000852832, 0.00907278)
14f11556b1fc9132c5ab27b67a2479bf	-9.073985135000003	-0.0028961883562599942	0.13046391466371748	0.0027924273497736372	(-9.31974, -8.8399)	(-0.00795713, 0.00247394)
